,Actual,Predicted
2026-03-24,96.06,87.03453
2026-03-25,87.85999,85.58446
2026-03-26,78.67,87.54668
2026-03-27,73.82,86.34088
2026-03-30,82.87001,84.65313
2026-03-31,83.99,82.96839
2026-04-01,92.62,83.611244
2026-04-02,94.81,83.21634
2026-04-06,92.57,85.307816
2026-04-07,96.45999,86.71765
2026-04-08,91.61,86.9727
2026-04-09,94.899994,87.64596
2026-04-10,98.97,87.09188
2026-04-13,88.57,87.58516
2026-04-14,86.91,88.790085
2026-04-15,90.94,90.36448
2026-04-16,85.53001,88.99879
2026-04-17,81.0,88.8223
2026-04-20,80.01,87.84311
2026-04-21,84.66001,88.80481
2026-04-22,78.75,87.30409
2026-04-23,76.4,87.37584
2026-04-24,77.2,85.65688
2026-04-27,71.88,83.8484
2026-04-28,69.85,83.15979
2026-04-29,73.9,82.32736
2026-04-30,70.89,81.409096
2026-05-01,68.43,81.50983
2026-05-04,63.87,80.88993
2026-05-05,70.68,79.909164
2026-05-06,65.35,79.74021
2026-05-07,75.05,80.73352
2026-05-08,82.55,80.01942
2026-05-11,72.96,81.95599
2026-05-12,74.81,86.20799
2026-05-13,83.01,86.30721
2026-05-14,83.67,84.55231
2026-05-15,86.83,86.871155
2026-05-18,88.100006,86.89426
2026-05-19,89.58,87.84296
2026-05-20,96.23,88.834946
2026-05-21,105.86,89.21566
2026-05-22,119.7,90.9743
