,Actual,Predicted
2026-07-14,131.24,165.99367
2026-07-15,133.33,164.53635
2026-07-16,131.37,164.67688
2026-07-17,129.16,165.43202
2026-07-20,127.78999,165.63829
2026-07-21,129.22,165.4182
2026-07-22,126.5,165.22685
2026-07-23,123.31,165.26555
2026-07-24,131.61,163.75185
2026-07-27,139.97,161.46565
2026-07-28,145.2,162.71484
2026-07-29,142.0,166.2526
2026-07-30,144.98,169.65646
2026-07-31,144.1,171.30171
2026-08-03,153.07,173.50208
2026-08-04,153.17,174.37695
2026-08-05,157.44,177.22993
2026-08-06,152.57,179.0255
2026-08-07,153.29,181.84756
2026-08-10,157.69,181.8643
2026-08-11,150.22,182.32388
2026-08-12,156.53,183.38017
2026-08-13,154.27,181.90018
2026-08-14,144.1,182.3662
2026-08-17,148.35,182.08908
2026-08-18,152.47,178.84482
2026-08-19,147.76,177.7091
2026-08-20,150.17,177.58037
2026-08-21,150.3,176.02211
2026-08-24,155.14,176.34879
2026-08-25,153.89,177.21397
2026-08-26,148.32,178.56088
2026-08-27,153.62,178.76457
2026-08-28,152.44,177.36029
2026-08-31,146.19,177.93741
2026-09-01,158.97,177.88124
2026-09-02,151.38,175.97696
2026-09-03,151.99,178.03528
2026-09-04,145.74,177.55669
2026-09-08,133.89,177.32056
2026-09-09,140.56,176.02715
2026-09-10,145.77,172.34273
