,Actual,Predicted
2026-07-06,417.28003,390.34055
2026-07-07,431.97,389.49957
2026-07-08,450.22,386.83014
2026-07-09,434.97,388.2541
2026-07-10,427.11,390.47113
2026-07-13,457.54004,387.8387
2026-07-14,412.68,383.3647
2026-07-15,391.38,387.82797
2026-07-16,396.34003,382.59674
2026-07-17,381.88004,374.21536
2026-07-20,404.15,372.08197
2026-07-21,441.80002,366.73123
2026-07-22,439.34,367.15384
2026-07-23,437.5,375.42236
2026-07-24,426.91,377.8787
2026-07-27,392.1,378.3926
2026-07-28,369.64005,378.3877
2026-07-29,404.81003,373.6371
2026-07-30,405.37,366.1121
2026-07-31,429.02,368.4314
2026-08-03,467.27002,368.38718
2026-08-04,462.7,373.43488
2026-08-05,437.65,384.5608
2026-08-06,453.77,389.64685
2026-08-07,457.88,386.59918
2026-08-10,440.97,389.11105
2026-08-11,484.50003,390.77914
2026-08-12,494.51004,388.57935
2026-08-13,490.81003,396.47247
2026-08-14,479.81,404.41724
2026-08-17,468.65,406.62436
2026-08-18,437.55002,407.50928
2026-08-19,434.78003,407.85614
2026-08-20,442.08,402.05563
2026-08-21,433.19003,397.73804
2026-08-24,451.5,396.9713
2026-08-25,463.82004,395.2004
2026-08-26,472.26004,397.3475
2026-08-27,456.24,401.59076
2026-08-28,456.01,404.99133
2026-08-31,425.0,402.61957
2026-09-01,492.20004,403.43073
2026-09-02,516.39,400.38763
