,Actual,Predicted
2026-05-27,390.13,365.28836
2026-05-28,380.34003,365.17984
2026-05-29,376.37,364.89737
2026-06-01,361.85004,363.19028
2026-06-02,358.99002,360.90997
2026-06-03,372.19003,356.48022
2026-06-04,368.53,353.73795
2026-06-05,363.31,353.83124
2026-06-08,364.26004,352.4541
2026-06-09,356.38,350.1306
2026-06-10,357.77,349.65475
2026-06-11,359.68002,347.71405
2026-06-12,369.35,346.28134
2026-06-15,373.25,345.95053
2026-06-16,363.79004,347.90097
2026-06-17,368.03,349.3325
2026-06-18,349.68,348.74753
2026-06-22,346.13004,349.92902
2026-06-23,345.29,347.28815
2026-06-24,343.71,344.4892
2026-06-25,337.39005,343.23553
2026-06-26,353.65,342.8795
2026-06-29,357.37,342.69983
2026-06-30,361.21,344.9645
2026-07-01,359.91003,345.606
2026-07-02,366.46002,346.281
2026-07-06,367.03003,346.53467
2026-07-07,361.92,348.4314
2026-07-08,358.89,347.85718
2026-07-09,357.18,346.65237
2026-07-10,352.51,345.32513
2026-07-13,359.51,343.95874
2026-07-14,370.91998,341.46112
2026-07-15,354.46,341.70477
2026-07-16,346.77,344.62
2026-07-17,351.99002,343.14764
2026-07-20,347.15,340.8808
2026-07-21,342.09,340.70984
2026-07-22,317.69,338.82587
2026-07-23,319.74,337.3845
2026-07-24,326.56,303.07352
2026-07-27,333.71,277.70322
2026-07-28,336.71,298.01953
