,Actual,Predicted
2026-06-08,5.29,5.2871046
2026-06-09,4.98,5.294311
2026-06-10,5.04,5.34909
2026-06-11,5.1300006,5.3057046
2026-06-12,5.1300006,5.306461
2026-06-15,4.99,5.3199697
2026-06-16,4.83,5.3298435
2026-06-17,5.05,5.3001957
2026-06-18,5.1400003,5.2710385
2026-06-22,5.0600004,5.3051257
2026-06-23,3.0,5.328591
2026-06-24,2.68,5.3188334
2026-06-25,2.64,5.1442485
2026-06-26,2.3,4.982383
2026-06-29,2.265,4.7583
2026-06-30,2.2,4.626353
2026-07-01,2.12,4.5197906
2026-07-02,2.0500002,4.5045996
2026-07-06,2.1,4.463277
2026-07-07,1.9700001,4.4134946
2026-07-08,2.17,4.4210434
2026-07-09,2.0500002,4.4030776
2026-07-10,1.83,4.4647994
2026-07-13,1.84,4.4302
2026-07-14,1.9,4.399228
2026-07-15,1.87,4.3577175
2026-07-16,1.8,4.353102
2026-07-17,1.76,4.3265953
2026-07-20,1.85,4.3199606
2026-07-21,1.93,4.324027
2026-07-22,1.9050001,4.335131
2026-07-23,1.81,4.3661866
2026-07-24,2.0000002,4.37608
2026-07-27,1.7649999,4.3789043
2026-07-28,1.6699998,4.460221
2026-07-29,1.655,4.4322767
2026-07-30,1.585,4.3958163
2026-07-31,1.5299999,4.333256
2026-08-03,1.5099999,4.3108025
2026-08-04,1.56,4.2581196
2026-08-05,2.0200002,4.2425804
2026-08-06,2.27,4.193538
2026-08-07,2.12,3.3139207
