,Actual,Predicted
2026-05-19,52.71,51.80986
2026-05-20,58.06,50.584682
2026-05-21,56.829998,50.98843
2026-05-22,59.779995,51.813606
2026-05-26,67.84,51.807007
2026-05-27,64.05,52.519688
2026-05-28,63.539997,55.09564
2026-05-29,65.33,54.766415
2026-06-01,66.6,54.750267
2026-06-02,65.48,55.24485
2026-06-03,61.859997,55.497932
2026-06-04,54.35,55.288807
2026-06-05,59.19,54.47169
2026-06-08,54.02,53.109436
2026-06-09,51.52,52.75305
2026-06-10,56.709995,51.86512
2026-06-11,59.769997,50.79426
2026-06-12,60.85,51.17034
2026-06-15,59.18,51.830994
2026-06-16,58.11,51.70127
2026-06-17,59.959995,51.68379
2026-06-18,56.869995,51.69406
2026-06-22,54.719997,51.895992
2026-06-23,50.3,51.233273
2026-06-24,47.74,50.446514
2026-06-25,47.21,49.57709
2026-06-26,45.91,48.688583
2026-06-29,45.73,48.277374
2026-06-30,43.32,47.621033
2026-07-01,38.82,47.180653
2026-07-02,43.91,46.949753
2026-07-06,39.815,46.55065
2026-07-07,43.005,47.134186
2026-07-08,41.72,46.58786
2026-07-09,41.14,46.880352
2026-07-10,38.98,46.900097
2026-07-13,38.59,46.841328
2026-07-14,38.28,46.331684
2026-07-15,34.83,46.159317
2026-07-16,33.62,45.773502
2026-07-17,40.2,45.142056
2026-07-20,41.29,44.737873
2026-07-21,41.28,46.72407
