post_id,ticker,mentions,sentiment,score,num_comments,engagement,created_utc,title,permalink
2,AMD,1,-0.1027,33,0,3.5263605246161616,2026-05-03 23:32:22,I don't even know why I sold..,
10,AMD,1,0.0644,111,0,4.718498871295094,2026-05-03 14:33:45,Sell Covered call gone wrong,
57,AMD,8,0.7581,18,0,2.9444389791664403,2026-05-01 17:32:18,INTC Short-term Options Play - DD,
69,AMD,2,0.0,5755,0,8.657998068007258,2026-05-01 13:02:06,"+$8,000,000 in April (188%). AMD and TQQQ on margin",
112,AMD,1,-0.2732,230,0,5.442417710521793,2026-04-29 23:10:51,Just crossed half a million. Thank you Big Techs for buying all the rams.,
22,CAR,1,-0.9568,2601,0,7.86403565907245,2026-05-02 08:33:33,My attempt to manage an infant and continue day trading options,
29,CAR,2,-0.8667,86,0,4.465908118654584,2026-05-02 03:46:56,"The $CAR crash was so violent, that the wheels came off.",
32,CAR,4,0.9997,30,0,3.4339872044851463,2026-05-02 00:35:30,I’ll be at the next $CAR rally,
76,CAR,1,0.6369,77,0,4.356708826689592,2026-05-01 05:03:55,CAR gains,
0,INTC,1,0.7906,1,0,0.6931471805599453,2026-05-04 02:57:41,Best Trade EVER,
28,INTC,2,-0.7845,18,0,2.9444389791664403,2026-05-02 04:44:43,$INTC GUH…,
32,INTC,2,0.9997,30,0,3.4339872044851463,2026-05-02 00:35:30,I’ll be at the next $CAR rally,
34,INTC,2,0.4215,595,0,6.39024066706535,2026-05-01 22:59:15,$INTC Working On Retiring With My Nana In Christ,
49,INTC,1,0.9378,74,0,4.31748811353631,2026-05-01 19:33:39,INTC has broken the $100 mark! This is definitely a moment to remember!,
57,INTC,4,0.7581,18,0,2.9444389791664403,2026-05-01 17:32:18,INTC Short-term Options Play - DD,
103,INTC,1,0.7957,225,0,5.420534999272286,2026-04-30 15:44:13,"-36k loss porn ""Sorry Nana, I thought u r a joke""🤡",
105,INTC,1,-0.6217,390,0,5.968707559985366,2026-04-30 13:17:51,"INTC $27k gains, I am buying even more!",
33,META,2,0.4404,35,0,3.58351893845611,2026-05-01 23:57:26,Holding META/METU into the weekend hoping for a a turnaround,
55,META,1,0.8565,20,0,3.044522437723423,2026-05-01 18:07:27,Transferring the profits from META and SNDK into PLTR again! Not bad to give back what you earned the same way you made it,
63,META,1,0.7887,53,0,3.9889840465642745,2026-05-01 15:32:13,SNDK bet results! Locking in profits and moving on to the next target!,
102,META,1,0.0,1483,0,7.302496423727326,2026-04-30 16:20:20,Buying the META dip,
104,META,1,0.8791,237,0,5.472270673671475,2026-04-30 14:46:29,Thanks to the loyal META investors for the profits they delivered! Locked in the put option ga,
21,MSFT,1,0.0,317,0,5.762051382780177,2026-05-02 09:43:51,"Steve Madden shoes (SHOO) outperformed NVDA, PLTR, AMZN, MSFT and TSLA",
72,MSFT,1,0.5106,222,0,5.407171771460119,2026-05-01 11:37:58,Top AI Companies Agree to Pentagon Deals for Classified Work,
88,MSFT,1,-0.5267,129,0,4.867534450455582,2026-04-30 21:16:30,$230K MSFT Micro gone Soft,
111,MSFT,1,-0.7263,3909,0,8.271292652979412,2026-04-30 00:10:05,MSFT can only be denied for so long….,
131,MSFT,1,0.0,2662,0,7.887208585813932,2026-04-29 04:11:37,MSFT Earnings,
8,NVDA,1,0.8997,1330,0,7.193685818395112,2026-05-03 16:34:17,Every Layer of the AI Money Printer Got Front-Run. Except One.,
21,NVDA,1,0.0,317,0,5.762051382780177,2026-05-02 09:43:51,"Steve Madden shoes (SHOO) outperformed NVDA, PLTR, AMZN, MSFT and TSLA",
24,NVDA,1,0.0,441,0,6.091309882077698,2026-05-02 06:49:43,PLTR - Finally Sold all but 80k,
72,NVDA,1,0.5106,222,0,5.407171771460119,2026-05-01 11:37:58,Top AI Companies Agree to Pentagon Deals for Classified Work,
82,NVDA,1,0.7096,1174,0,7.069023426578259,2026-04-30 23:28:56,$68 -> $5300,
105,NVDA,1,-0.6217,390,0,5.968707559985366,2026-04-30 13:17:51,"INTC $27k gains, I am buying even more!",
112,NVDA,1,-0.2732,230,0,5.442417710521793,2026-04-29 23:10:51,Just crossed half a million. Thank you Big Techs for buying all the rams.,
151,NVDA,1,0.0,242,0,5.493061443340548,2026-04-27 19:20:10,NVDA + time=,
157,NVDA,1,0.9187,285,0,5.655991810819852,2026-04-27 15:31:47,$RDDT get in before earnings,
54,POET,8,0.8962,5,0,1.791759469228055,2026-05-01 18:15:12,"POET & I Know It, or POEL & I Go To Hell?",
143,POET,4,0.9961,898,0,6.80128303447162,2026-04-27 22:42:08,"POET YOLO “fail”, being the top signal, and learning from fellow Regards’ mistakes",
147,POET,2,0.0,941,0,6.848005274576363,2026-04-27 20:38:52,$POET,
148,POET,1,-0.5423,225,0,5.420534999272286,2026-04-27 20:36:54,POETry Loss,
152,POET,1,0.0,1444,0,7.275864600546533,2026-04-27 17:56:27,POET Puts: 6k --> 45k,
155,POET,1,-0.3182,1210,0,7.099201743553092,2026-04-27 16:52:55,"POET loss, CFO should be in jail",
156,POET,2,-0.34,505,0,6.226536669287466,2026-04-27 16:19:03,Dead $POET Society,
160,POET,6,0.6908,1592,0,7.373374309910049,2026-04-27 13:06:23,POET -30% premarket after Marvell cancels Celestial AI purchase orders over alleged confidentiality breach,
2,SNDK,1,-0.1027,33,0,3.5263605246161616,2026-05-03 23:32:22,I don't even know why I sold..,
22,SNDK,2,-0.9568,2601,0,7.86403565907245,2026-05-02 08:33:33,My attempt to manage an infant and continue day trading options,
55,SNDK,1,0.8565,20,0,3.044522437723423,2026-05-01 18:07:27,Transferring the profits from META and SNDK into PLTR again! Not bad to give back what you earned the same way you made it,
63,SNDK,2,0.7887,53,0,3.9889840465642745,2026-05-01 15:32:13,SNDK bet results! Locking in profits and moving on to the next target!,
105,SNDK,1,-0.6217,390,0,5.968707559985366,2026-04-30 13:17:51,"INTC $27k gains, I am buying even more!",
21,TSLA,1,0.0,317,0,5.762051382780177,2026-05-02 09:43:51,"Steve Madden shoes (SHOO) outperformed NVDA, PLTR, AMZN, MSFT and TSLA",
60,TSLA,2,-0.5267,429,0,6.063785208687608,2026-05-01 15:58:37,Going Full regard 🥦 on TSLA. 🦾🦿Borrowed 300k+,
72,TSLA,1,0.5106,222,0,5.407171771460119,2026-05-01 11:37:58,Top AI Companies Agree to Pentagon Deals for Classified Work,
112,TSLA,2,-0.2732,230,0,5.442417710521793,2026-04-29 23:10:51,Just crossed half a million. Thank you Big Techs for buying all the rams.,
44,VITL,4,0.9209,33,0,3.5263605246161616,2026-05-01 19:59:15,I like eggs 🥚 $VITL,
56,VITL,2,0.6523,22,0,3.1354942159291497,2026-05-01 17:33:09,10k YOLO in $VITL,
100,VITL,8,0.7399,214,0,5.3706380281276624,2026-04-30 18:49:18,"I just invested $25,000 in... eggs ($VITL)",
