,Actual,Predicted
2026-03-17,266.22003,244.90149
2026-03-18,281.87,244.72563
2026-03-19,280.89005,248.64676
2026-03-20,287.2,254.51833
2026-03-23,294.58,256.36685
2026-03-24,284.39005,258.10828
2026-03-25,291.4,259.91043
2026-03-26,296.91,258.25714
2026-03-27,293.64,258.42294
2026-03-30,283.76,259.4455
2026-03-31,275.84,259.14487
2026-04-01,281.16,257.97852
2026-04-02,284.05,256.69077
2026-04-06,284.27,256.29843
2026-04-07,275.21,255.93822
2026-04-08,265.77,255.92342
2026-04-09,265.54,255.32993
2026-04-10,261.6,253.66899
2026-04-13,259.68,252.14499
2026-04-14,256.75,250.40152
2026-04-15,262.74,249.23384
2026-04-16,251.07,248.24394
2026-04-17,252.35,248.8102
2026-04-20,257.78,247.25458
2026-04-21,257.48,246.03055
2026-04-22,257.19,246.14369
2026-04-23,257.09,245.67027
2026-04-24,259.4,245.01347
2026-04-27,264.98,245.13173
2026-04-28,272.23,245.35298
2026-04-29,274.95,246.55252
2026-04-30,270.06,248.88322
2026-05-01,272.85,250.3663
2026-05-04,269.52,250.28168
2026-05-05,261.42,250.97504
2026-05-06,246.78,250.12285
2026-05-07,240.11,248.29314
2026-05-08,240.7,246.01022
2026-05-11,244.31,243.36348
2026-05-12,239.38,241.1829
2026-05-13,241.08,240.46503
2026-05-14,241.84,239.08199
2026-05-15,247.74,218.70222
