,Actual,Predicted
2026-07-24,593.87,642.264
2026-07-27,593.41,638.92816
2026-07-28,585.61,636.8367
2026-07-29,539.03,635.53656
2026-07-30,556.71,635.0317
2026-07-31,590.24,630.43915
2026-08-03,587.94,628.1769
2026-08-04,588.77,632.2869
2026-08-05,589.9,632.8077
2026-08-06,592.1,633.0807
2026-08-07,594.92,635.44135
2026-08-10,599.12,635.1001
2026-08-11,578.85,633.8582
2026-08-12,594.97,634.2497
2026-08-13,589.85,631.46826
2026-08-14,568.97,631.9649
2026-08-17,543.67,631.1435
2026-08-18,546.03,628.688
2026-08-19,545.83,624.6042
2026-08-20,549.9,622.46173
2026-08-21,559.02,620.01825
2026-08-24,570.05,619.58124
2026-08-25,576.14,621.55225
2026-08-26,571.1,624.7669
2026-08-27,578.02,628.78394
2026-08-28,572.34,627.5215
2026-08-31,578.54,628.6374
2026-09-01,592.85,626.92334
2026-09-02,610.68,626.05145
2026-09-03,616.77,627.7901
2026-09-04,613.48,632.5705
2026-09-08,653.69,635.4394
2026-09-09,644.38,637.23785
2026-09-10,648.03,646.37335
2026-09-11,665.6,647.25104
2026-09-14,670.24,648.176
2026-09-15,673.31,651.96436
2026-09-16,682.31,655.30316
2026-09-17,665.75,656.28217
2026-09-18,741.25,659.9242
2026-09-21,736.6,660.067
2026-09-22,744.1,580.54926
