,Actual,Predicted
2026-06-17,63.96,53.470158
2026-06-18,59.345,55.203705
2026-06-22,61.0,56.449413
2026-06-23,60.42,56.83197
2026-06-24,59.75,57.32467
2026-06-25,67.27,57.579414
2026-06-26,69.7,57.572678
2026-06-29,70.03,58.73167
2026-06-30,72.50001,59.9077
2026-07-01,79.76,60.557888
2026-07-02,81.8,61.42043
2026-07-06,79.770004,62.780926
2026-07-07,73.8,63.493946
2026-07-08,76.56,63.923256
2026-07-09,68.27,63.689358
2026-07-10,67.01,64.051865
2026-07-13,67.44,63.36743
2026-07-14,68.28,63.23205
2026-07-15,63.15,63.413776
2026-07-16,61.82,63.685272
2026-07-17,59.49,63.201363
2026-07-20,59.66,63.33052
2026-07-21,58.07,63.15359
2026-07-22,57.02,63.044582
2026-07-23,54.070004,62.683765
2026-07-24,55.63,62.62135
2026-07-27,55.805,62.167274
2026-07-28,54.490005,62.201847
2026-07-29,57.92,62.13879
2026-07-30,54.82,61.975933
2026-07-31,55.14,62.30285
2026-08-03,56.99,62.181095
2026-08-04,56.255,62.149765
2026-08-05,53.86,62.334423
2026-08-06,59.17,62.344006
2026-08-07,59.81,61.914207
2026-08-10,60.57,62.650948
2026-08-11,63.67,62.74007
2026-08-12,63.65,62.787907
2026-08-13,63.32,63.204678
2026-08-14,64.46,63.40341
2026-08-17,62.96,62.93738
2026-08-18,174.38,62.748417
