,Actual,Predicted
2026-06-03,428.04996,441.37372
2026-06-04,416.66998,438.65137
2026-06-05,411.74,436.5016
2026-06-08,403.40997,432.6395
2026-06-09,397.36,429.08072
2026-06-10,390.34,425.80542
2026-06-11,390.74,422.48367
2026-06-12,399.76,418.68402
2026-06-15,393.83,416.0314
2026-06-16,378.91,415.57538
2026-06-17,379.4,414.06256
2026-06-18,367.34,410.36685
2026-06-22,373.94,407.71774
2026-06-23,365.46,403.2032
2026-06-24,352.83,400.67636
2026-06-25,372.97003,397.68024
2026-06-26,368.57,393.8211
2026-06-29,373.02,393.59116
2026-06-30,384.28,391.5129
2026-07-01,390.49,390.5502
2026-07-02,386.74,391.78137
2026-07-06,388.84,393.9215
2026-07-07,383.34003,394.55026
2026-07-08,384.36,395.49078
2026-07-09,385.1,395.4056
2026-07-10,390.99,395.4456
2026-07-13,384.93002,395.571
2026-07-14,395.62997,396.78598
2026-07-15,401.1,396.77982
2026-07-16,393.82,398.90207
2026-07-17,402.29,401.53287
2026-07-20,397.75,402.65613
2026-07-21,390.34,405.22098
2026-07-22,381.57996,406.7269
2026-07-23,381.7,406.65002
2026-07-24,389.10004,405.10263
2026-07-27,393.35,404.43066
2026-07-28,390.53998,405.25076
2026-07-29,451.09998,406.3345
2026-07-30,464.72,406.72568
2026-07-31,487.65,395.87402
2026-08-03,492.81003,412.133
2026-08-04,487.46,358.26855
