,Actual,Predicted
2026-05-13,86.94,91.84008
2026-05-14,87.02,91.672844
2026-05-15,89.65,91.400955
2026-05-18,89.33,91.22201
2026-05-19,88.09,91.72563
2026-05-20,89.3,91.90085
2026-05-21,88.6,91.75253
2026-05-22,87.68,91.87977
2026-05-26,87.35,91.78082
2026-05-27,86.36,91.46956
2026-05-28,86.02,91.24124
2026-05-29,85.85,91.02506
2026-06-01,83.33,90.8209
2026-06-02,81.52,90.78077
2026-06-03,81.56,90.45424
2026-06-04,82.18,89.910034
2026-06-05,82.64,89.59646
2026-06-08,81.41,89.47128
2026-06-09,82.0,89.3808
2026-06-10,81.27,89.1626
2026-06-11,80.34,89.15282
2026-06-12,81.67,88.899376
2026-06-15,78.72,88.517
2026-06-16,76.96,88.53433
2026-06-17,77.38,88.18197
2026-06-18,72.88,87.49141
2026-06-22,72.82,87.28612
2026-06-23,71.84,86.35818
2026-06-24,70.9,85.49841
2026-06-25,73.81,84.86958
2026-06-26,73.78,84.284424
2026-06-29,71.4,84.42983
2026-06-30,74.19,84.380424
2026-07-01,77.65,83.9489
2026-07-02,76.02,84.044075
2026-07-06,76.18,84.72034
2026-07-07,75.59,84.75495
2026-07-08,75.47,84.76215
2026-07-09,73.37,84.76332
2026-07-10,73.83,84.665504
2026-07-13,73.53,84.29397
2026-07-14,73.68,84.149254
2026-07-15,74.35,73.303116
