,Actual,Predicted
2026-03-19,172.7,185.5605
2026-03-20,175.64,185.35423
2026-03-23,175.2,185.03883
2026-03-24,178.68,184.87796
2026-03-25,171.24,184.59079
2026-03-26,167.52,184.90483
2026-03-27,165.17,184.39015
2026-03-30,174.4,184.14342
2026-03-31,175.75,183.70872
2026-04-01,177.39,184.68622
2026-04-02,177.64,184.77061
2026-04-06,178.1,185.12413
2026-04-07,182.08,185.1462
2026-04-08,183.91,185.35521
2026-04-09,188.63,185.50511
2026-04-10,189.31,185.53159
2026-04-13,196.50998,186.18968
2026-04-14,198.87,186.47946
2026-04-15,198.35,187.49768
2026-04-16,201.68,188.148
2026-04-17,202.06001,188.21417
2026-04-20,199.88,188.59764
2026-04-21,202.50002,188.73517
2026-04-22,199.64001,188.40172
2026-04-23,208.27,188.59465
2026-04-24,216.61,188.46811
2026-04-27,213.17001,189.48381
2026-04-28,209.25,190.48044
2026-04-29,199.57,190.72377
2026-04-30,198.45,190.35176
2026-05-01,198.48,189.97346
2026-05-04,196.5,189.14688
2026-05-05,207.83,188.59221
2026-05-06,211.49998,188.2765
2026-05-07,215.2,189.41696
2026-05-08,219.44002,190.32133
2026-05-11,220.78,190.8101
2026-05-12,225.83,191.40822
2026-05-13,235.74,191.80399
2026-05-14,225.31999,179.39862
2026-05-15,222.32,171.34785
2026-05-18,220.61002,185.54028
2026-05-19,223.46999,157.89102
