,Actual,Predicted
2026-06-25,22.13,25.487019
2026-06-26,22.37,25.224594
2026-06-29,22.57,25.232233
2026-06-30,23.23,25.128769
2026-07-01,22.830002,25.157385
2026-07-02,23.25,25.362537
2026-07-06,23.070002,25.418571
2026-07-07,23.58,25.527933
2026-07-08,23.690002,25.49801
2026-07-09,23.64,25.69082
2026-07-10,23.63,25.803782
2026-07-13,23.59,25.87678
2026-07-14,24.27,25.882668
2026-07-15,24.67,25.927277
2026-07-16,24.25,26.055714
2026-07-17,24.48,26.279282
2026-07-20,24.33,26.345022
2026-07-21,23.86,26.44773
2026-07-22,23.71,26.47928
2026-07-23,23.56,26.388958
2026-07-24,24.15,26.272974
2026-07-27,24.4,26.165157
2026-07-28,24.83,26.290615
2026-07-29,25.09,26.506897
2026-07-30,25.49,26.742674
2026-07-31,25.66,26.926668
2026-08-03,25.600002,27.127777
2026-08-04,25.31,27.270527
2026-08-05,25.37,27.331438
2026-08-06,25.58,27.235052
2026-08-07,25.96,27.17074
2026-08-10,25.25,27.160162
2026-08-11,24.63,27.29496
2026-08-12,24.15,27.176376
2026-08-13,24.3,26.977625
2026-08-14,24.39,26.760342
2026-08-17,24.16,26.503662
2026-08-18,24.52,26.409283
2026-08-19,24.26,26.35331
2026-08-20,24.319998,26.49817
2026-08-21,23.92,26.517466
2026-08-24,24.2,25.596914
2026-08-25,24.03,26.026537
