Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return
2025-08-07,3.2799999713897705,3.3499999046325684,3.180000066757202,3.3299999237060547,3.3299999237060547,310900,0.0,0.0,,,,3.3299999237060547,,0.0,,
2025-08-08,3.3499999046325684,3.359999895095825,3.2300000190734863,3.25,3.25,282300,0.0,0.0,-0.024024001663345507,,,3.2895378847293055,0.0,-0.006381760295639971,,
2025-08-11,3.25,3.2899999618530273,3.240000009536743,3.2899999618530273,3.2899999618530273,175000,0.0,0.0,0.012307680570162294,,,3.2896954825723905,3.7037037037037095,-0.00811810818234493,,
2025-08-12,3.319999933242798,3.490000009536743,3.2799999713897705,3.3399999141693115,3.3399999141693115,414500,0.0,0.0,0.015197554071740171,,,3.3027107430481992,8.276797829036639,-0.0053973804651334945,,
2025-08-13,3.3399999141693115,3.5,3.319999933242798,3.440000057220459,3.440000057220459,285300,0.0,0.0,0.029940163359560623,,,3.331451856038683,16.788201346910853,0.004772971812717852,,
2025-08-14,3.4100000858306885,3.4600000381469727,3.369999885559082,3.369999885559082,3.369999885559082,288700,0.0,0.0,-0.020348886772385,,,3.3382532623133008,15.690599859795867,0.007102744412831097,0.012012000831672864,
2025-08-15,3.380000114440918,3.4100000858306885,3.3399999141693115,3.3399999141693115,3.3399999141693115,376800,0.0,0.0,-0.008902068963955956,,,3.3385204077300736,15.231004656558483,0.006453961758888127,0.02769228128286505,
2025-08-18,3.3299999237060547,3.390000104904175,3.299999952316284,3.299999952316284,3.299999952316284,140600,0.0,0.0,-0.01197603679070025,,,3.3333071021509815,14.616258835265825,0.0026812266912115135,0.0030395108143479455,
2025-08-19,3.309999942779541,3.3499999046325684,3.2100000381469727,3.25,3.25,170800,0.0,0.0,-0.015151500920837613,,,3.3231725555264067,13.863041586517753,-0.004293775346486228,-0.02694608277907551,
2025-08-20,3.2699999809265137,3.2899999618530273,3.2100000381469727,3.240000009536743,3.240000009536743,106100,0.0,0.0,-0.0030769201425405734,,,3.313964274289288,13.710859549597416,-0.010507308656890313,-0.05813954777818142,
2025-08-21,3.240000009536743,3.2699999809265137,3.1700000762939453,3.259999990463257,3.259999990463257,159300,0.0,0.0,0.006172833601125083,,,3.30847232124427,15.703948933321072,-0.01366028005230735,-0.032640919534504986,
2025-08-22,3.259999990463257,3.390000104904175,3.259999990463257,3.3399999141693115,3.3399999141693115,240400,0.0,0.0,0.024539853969351322,,,3.3114461632871883,23.33225320561465,-0.009593123783819824,0.0,
2025-08-25,3.3299999237060547,3.3299999237060547,3.25,3.25,3.25,115200,0.0,0.0,-0.02694608277907551,,,3.3060369295660594,21.02692028811903,-0.013476762324479363,-0.015151500920837613,
2025-08-26,3.240000009536743,3.3299999237060547,3.240000009536743,3.2899999618530273,3.2899999618530273,107800,0.0,0.0,0.012307680570162294,,,3.3047115651260976,24.592998059100722,-0.013175037588008198,0.012307680570162294,
2025-08-27,3.2899999618530273,3.319999933242798,3.259999990463257,3.2899999618530273,3.2899999618530273,109100,0.0,0.0,0.0,,,3.3035643433348216,24.592998059100722,-0.01278850068521109,0.015432084002812374,
2025-08-28,3.309999942779541,3.3499999046325684,3.240000009536743,3.2799999713897705,3.2799999713897705,109100,0.0,0.0,-0.0030395108143480565,,,3.301822805672545,24.275176389017858,-0.013137640519858884,0.006134963492337775,
2025-08-29,3.2799999713897705,3.440000057220459,3.240000009536743,3.4100000858306885,3.4100000858306885,285100,0.0,0.0,0.03963418157770149,,,3.3094292777383476,35.87673841892892,-0.0028910869247100734,0.02095813576653538,
2025-09-02,3.359999895095825,3.509999990463257,3.319999933242798,3.3299999237060547,3.3299999237060547,221000,0.0,0.0,-0.02346045751055914,,,3.3108101437635913,32.5698069406256,-0.0012119927740692482,0.024615361140324588,
2025-09-03,3.309999942779541,3.3499999046325684,3.2300000190734863,3.240000009536743,3.240000009536743,174300,0.0,0.0,-0.027027001871263723,,,3.3062583899595386,29.298010444077875,-0.007062131617995959,-0.01519755407174006,
2025-09-04,3.2300000190734863,3.3499999046325684,3.2100000381469727,3.3399999141693115,3.3399999141693115,141300,0.0,0.0,0.03086416800562497,,,3.308341025813236,36.88463154444601,-0.0035878932302355615,0.015197554071740171,
2025-09-05,3.3399999141693115,3.369999885559082,3.2899999618530273,3.299999952316284,3.299999952316284,88000,0.0,0.0,-0.01197603679070025,,,3.3078454571127693,35.255026071934,-0.004015904063083386,0.006097555213709249,
2025-09-08,3.319999933242798,3.4000000953674316,3.319999933242798,3.380000114440918,3.380000114440918,242800,0.0,0.0,0.02424247372139554,,,3.3119811319472445,40.88079137504207,0.002076304417568675,-0.008797645347408345,0.015015072636763493
2025-09-09,3.359999895095825,3.380000114440918,3.200000047683716,3.200000047683716,3.200000047683716,198500,0.0,0.0,-0.05325445581737076,,,3.3057766440968535,33.77060650619009,-0.007533239043093776,-0.039039002702936476,-0.015384600712702867
2025-09-10,3.190000057220459,3.2300000190734863,3.1500000953674316,3.1500000953674316,3.1500000953674316,134600,0.0,0.0,-0.015624984866008385,,,3.2974178177958144,32.10046039358269,-0.018964834941571862,-0.02777775120506243,-0.042553151400872236
2025-09-11,3.130000114440918,3.2899999618530273,3.130000114440918,3.259999990463257,3.259999990463257,157600,0.0,0.0,0.03492060056048807,,,3.2954700402535417,39.22193367906609,-0.01893016961288785,-0.0239520735814005,-0.0239520735814005
2025-09-12,3.2699999809265137,3.3499999046325684,3.25,3.2899999618530273,3.2899999618530273,584400,0.0,0.0,0.009202445238506662,,,3.295193379007324,41.038230332455335,-0.016294121627836056,-0.0030303001841675004,-0.043604678160567456
2025-09-15,3.309999942779541,3.4200000762939453,3.2899999618530273,3.359999895095825,3.359999895095825,233900,0.0,0.0,0.021276575700436062,,,3.298382649758347,45.15660367829402,-0.008459113613024094,-0.005917224457964498,-0.002967356321318615
2025-09-16,3.369999885559082,3.430000066757202,3.359999895095825,3.4000000953674316,3.4000000953674316,213000,0.0,0.0,0.011904821881092875,,,3.3032549733598646,47.416826326599875,0.0009667247520193101,0.0625000139698384,0.017964126568860372
2025-09-17,3.4000000953674316,3.4600000381469727,3.299999952316284,3.309999942779541,3.309999942779541,157300,0.0,0.0,-0.026470632371604186,,,3.303570458094899,43.1116829395963,0.0011611246919565055,0.05079360081525519,0.0030303001841676114
2025-09-18,3.319999933242798,3.440000057220459,3.319999933242798,3.4000000953674316,3.4000000953674316,185800,0.0,0.0,0.027190378895388667,0.06547878412873781,3.3076666514078776,3.307975370013257,48.17865491988168,0.008479699498725068,0.04294481758089841,0.04615387549767136
2025-09-19,3.4000000953674316,3.440000057220459,3.2699999809265137,3.309999942779541,3.309999942779541,386700,0.0,0.0,-0.026470632371604186,0.06534523697059047,3.306999985376994,3.3080657874870787,43.961827406526524,0.006937491525521811,0.006079021628696113,0.021604917603937457
2025-09-22,3.299999952316284,3.359999895095825,3.2300000190734863,3.319999933242798,3.319999933242798,182400,0.0,0.0,0.0030211452072894662,0.06448380367013107,3.309333316485087,3.308587385489431,44.54263385428111,0.006447869229903702,-0.011904750923180218,0.018404890477013325
2025-09-23,3.3499999046325684,3.380000114440918,3.25,3.2799999713897705,3.2799999713897705,106200,0.0,0.0,-0.012048181523292234,0.06461290581648495,3.3089999834696453,3.307363472406383,42.638933995558965,0.0027999018791931007,-0.03529415312110251,-0.017964055186050376
2025-09-24,3.299999952316284,3.3499999046325684,3.2799999713897705,3.3399999141693115,3.3399999141693115,102400,0.0,0.0,0.018292665641127526,0.06461290581648495,3.3089999834696453,3.3087333754912525,46.343368582284775,0.004696220309007959,0.009063435621868399,0.02769228128286505
2025-09-25,3.299999952316284,3.299999952316284,3.2300000190734863,3.25,3.25,102600,0.0,0.0,-0.02694608277907551,0.06051122580720402,3.3026666482289633,3.3063143499755046,41.96540560938802,-0.0010510586362277863,-0.04411767387060073,-0.012158043257392115
