Date,Actual,Predicted
2026-01-09,97.67,74.387985
2026-01-12,98.39,76.923744
2026-01-13,92.72,79.14416
2026-01-14,95.22,79.80901
2026-01-15,101.25,80.8211
2026-01-16,115.77,82.84208
2026-01-20,112.44,87.349556
2026-01-21,103.5,90.31448
2026-01-22,116.37,90.88827
2026-01-23,113.57,93.76856
2026-01-26,104.78,95.533485
2026-01-27,111.34,95.27152
2026-01-28,121.23,96.31621
2026-01-29,122.09,99.018585
2026-01-30,111.21,101.30073
2026-02-02,104.55,101.05347
2026-02-03,115.76,99.58452
2026-02-04,103.5,100.52188
2026-02-05,93.27,98.98442
2026-02-06,101.79,95.87615
2026-02-09,102.12,95.03325
2026-02-10,96.27,94.44945
2026-02-11,96.92,92.88238
2026-02-12,82.22,91.75184
2026-02-13,82.51,87.961395
2026-02-17,83.03,84.91461
2026-02-18,84.43,82.52441
2026-02-19,86.4,80.89087
2026-02-20,80.200005,79.976425
2026-02-23,83.9,77.94469
2026-02-24,85.82001,76.99603
2026-02-25,82.36,76.62202
2026-02-26,85.76,75.59576
2026-02-27,79.19,75.39373
2026-03-02,86.92,73.91573
2026-03-03,92.68,74.279144
2026-03-04,104.89,75.78163
2026-03-05,93.86,79.43534
2026-03-06,89.475,80.23531
2026-03-09,89.76001,79.9486
2026-03-10,87.53,79.72049
2026-03-11,88.21,79.11497
2026-03-12,87.09,78.79931
2026-03-13,86.34,78.34975
2026-03-16,89.11001,77.87439
2026-03-17,95.7,78.04899
2026-03-18,90.74,79.519966
2026-03-19,94.09,79.73294
2026-03-20,89.93,80.536766
2026-03-23,88.42,80.36014
2026-03-24,86.98,79.89008
2026-03-25,96.06,79.21468
2026-03-26,87.86,80.49433
2026-03-27,78.67,79.92278
2026-03-30,73.82001,77.593735
2026-03-31,82.87,74.6697
2026-04-01,83.99,74.1187
2026-04-02,92.62,73.956276
2026-04-06,94.81,75.603615
2026-04-07,92.57,77.39678
2026-04-08,96.46,78.36891
2026-04-09,91.61,79.88704
2026-04-10,94.9,80.132385
2026-04-13,98.97,80.96328
2026-04-14,88.57,82.45261
2026-04-15,86.91,81.595604
2026-04-16,90.94,80.528984
2026-04-17,85.53001,80.487885
2026-04-20,81.0,79.40964
2026-04-21,80.01,77.63673
2026-04-22,84.66,75.99863
2026-04-23,78.75,75.626045
2026-04-24,76.4,74.15756
2026-04-27,77.2,72.491104
2026-04-28,71.88,71.30714
2026-04-29,69.85,69.291
2026-04-30,73.9,67.21332
2026-05-01,70.89,66.351944
2026-05-04,68.43,65.072266
2026-05-05,63.869995,63.537136
2026-05-06,70.68,61.38554
2026-05-07,65.35,61.016457
2026-05-08,75.05,59.731133
2026-05-11,82.55,60.621838
2026-05-12,72.96,62.889572
2026-05-13,74.81,62.829075
2026-05-14,83.01,63.05919
2026-05-15,83.670006,64.87565
2026-05-18,86.83,66.524704
2026-05-19,88.1,68.481026
2026-05-20,89.58001,70.302826
2026-05-21,96.23001,72.048485
2026-05-22,105.86,74.78757
2026-05-26,119.7,78.93523
2026-05-27,129.6,85.010376
2026-05-28,133.09,91.76845
2026-05-29,113.41,97.70844
