Date,Actual,Predicted
2026-05-01,5.88,4.806748
2026-05-04,6.13,4.9726286
2026-05-05,6.4399996,5.1630554
2026-05-06,6.53,5.3842406
2026-05-07,7.27,5.591462
2026-05-08,7.14,5.9098883
2026-05-11,7.08,6.159827
2026-05-12,7.26,6.359762
2026-05-13,7.22,6.5625625
2026-05-14,8.4,6.724429
2026-05-15,8.18,7.0904217
2026-05-18,7.71,7.3588037
2026-05-19,7.4199996,7.494028
2026-05-20,6.94,7.5507126
2026-05-21,7.12,7.502872
2026-05-22,7.17,7.4957805
2026-05-26,7.07,7.4989533
2026-05-27,7.0,7.4809866
2026-05-28,6.81,7.4509687
2026-05-29,7.07,7.387389
2026-06-01,7.3399997,7.3827834
2026-06-02,7.47,7.4270225
2026-06-03,7.72,7.488973
2026-06-04,6.95,7.589287
2026-06-05,6.84,7.523094
2026-06-08,6.31,7.4416337
2026-06-09,6.26,7.26655
2026-06-10,6.16,7.106109
2026-06-11,6.05,6.9464383
2026-06-12,5.97,6.7877355
2026-06-15,6.13,6.6300807
2026-06-16,6.39,6.5295625
2026-06-17,6.14,6.4992123
2026-06-18,6.05,6.428024
2026-06-22,6.28,6.353094
2026-06-23,6.5600004,6.3336635
2026-06-24,6.4200006,6.373079
2026-06-25,6.23,6.3817058
2026-06-26,6.24,6.3528275
2026-06-29,6.36,6.3306646
2026-06-30,6.62,6.333862
2026-07-01,6.8199997,6.3868656
2026-07-02,7.07,6.4721594
2026-07-06,6.6299996,6.594691
2026-07-07,6.79,6.6173415
2026-07-08,6.31,6.668097
2026-07-09,6.15,6.618423
2026-07-10,6.28,6.5434732
2026-07-13,6.38,6.504118
2026-07-14,6.05,6.490407
2026-07-15,6.13,6.4145517
2026-07-16,6.02,6.3642335
2026-07-17,5.95,6.29869
2026-07-20,6.06,6.2304955
2026-07-21,6.09,6.1942487
2026-07-22,6.31,6.1687956
2026-07-23,6.61,6.1894736
2026-07-24,5.99,6.2675276
2026-07-27,5.95,6.215336
2026-07-28,6.21,6.1618
2026-07-29,6.21,6.165288
2026-07-30,5.98,6.167845
2026-07-31,6.24,6.125044
2026-08-03,6.4499993,6.137826
2026-08-04,6.79,6.1923933
2026-08-05,7.2299995,6.3059435
2026-08-06,6.6900005,6.492747
2026-08-07,6.78,6.548126
2026-08-10,7.06,6.611432
2026-08-11,6.98,6.719163
2026-08-12,6.95,6.7967224
2026-08-13,6.87,6.8562403
2026-08-14,6.84,6.8908405
2026-08-17,6.99,6.9137626
2026-08-18,6.9700003,6.9615555
2026-08-19,6.15,6.9977736
2026-08-20,6.195,6.865219
2026-08-21,6.12,6.7582726
2026-08-24,6.24,6.653556
2026-08-25,5.69,6.587666
2026-08-26,5.77,6.422556
2026-08-27,5.76,6.2970915
2026-08-28,5.69,6.1894655
2026-08-31,5.83,6.0838456
2026-09-01,5.63,6.0208
2026-09-02,5.46,5.928525
2026-09-03,5.85,5.8166776
2026-09-04,6.32,5.799382
2026-09-08,6.34,5.8764944
2026-09-09,6.51,5.9478874
2026-09-10,6.4999995,6.043394
2026-09-11,6.33,6.124051
2026-09-14,6.4300003,6.160253
2026-09-15,6.46,6.209964
2026-09-16,6.4399996,6.257454
2026-09-17,6.36,6.294221
