Date,Actual,Predicted
2026-04-22,402.17,335.20148
2026-04-23,422.65,336.38644
2026-04-24,419.94,340.47595
2026-04-27,422.76004,343.00977
2026-04-28,418.2,345.13376
2026-04-29,399.83002,345.78882
2026-04-30,405.45004,343.11697
2026-05-01,417.43002,341.9456
2026-05-04,421.28,343.1402
2026-05-05,416.5,344.76572
2026-05-06,427.36,345.17484
2026-05-07,425.44003,347.15494
2026-05-08,412.56,348.28244
2026-05-11,430.0,346.92032
2026-05-12,428.43002,348.64392
2026-05-13,419.3,349.72824
2026-05-14,416.79004,348.98874
2026-05-15,439.79,347.94724
2026-05-18,425.19,350.9135
2026-05-19,420.71,350.83374
2026-05-20,411.07,349.917
2026-05-21,417.76,347.61963
2026-05-22,414.57,347.01843
2026-05-26,414.14,346.1736
2026-05-27,422.01,345.53604
2026-05-28,421.86002,346.3999
2026-05-29,426.58,347.0748
2026-06-01,446.77,348.31918
2026-06-02,459.97003,352.47772
2026-06-03,481.57,357.6401
2026-06-04,479.23,364.71487
2026-06-05,418.91003,369.3057
2026-06-08,385.73,362.69153
2026-06-09,396.60004,351.98743
2026-06-10,392.16,345.89236
2026-06-11,372.1,341.16473
2026-06-12,385.57,334.7811
2026-06-15,382.07,332.5674
2026-06-16,393.94,330.77097
2026-06-17,376.71,331.61606
2026-06-18,392.9,329.5752
2026-06-22,411.35,330.6967
2026-06-23,392.13,334.68048
2026-06-24,380.15,334.4975
2026-06-25,382.07,332.15518
2026-06-26,378.91,330.64636
2026-06-29,365.02002,329.10266
2026-06-30,372.45,325.7583
2026-07-01,377.75,324.57996
2026-07-02,369.34003,324.79047
2026-07-06,360.45004,323.68872
2026-07-07,373.9,321.40417
2026-07-08,370.78,321.97144
2026-07-09,388.69003,322.03726
2026-07-10,401.11002,325.05066
2026-07-13,399.97,329.36508
2026-07-14,384.05,332.25745
2026-07-15,389.11002,331.52744
2026-07-16,394.28003,331.56866
2026-07-17,374.45004,332.42685
2026-07-20,370.83,329.80057
2026-07-21,378.16,327.1694
2026-07-22,386.5,326.52737
2026-07-23,396.81,327.6084
2026-07-24,392.47,330.21024
2026-07-27,381.92004,331.4203
2026-07-28,383.22003,330.43643
2026-07-29,380.91,329.79526
2026-07-30,370.32004,328.95502
2026-07-31,387.84,326.6154
2026-08-03,389.28,327.80084
2026-08-04,392.23004,329.08392
2026-08-05,418.16,330.51193
2026-08-06,418.28,335.75955
2026-08-07,420.57,339.62885
2026-08-10,427.76,342.60168
2026-08-11,422.40002,345.71466
2026-08-12,416.08,346.94894
2026-08-13,416.05002,346.62564
2026-08-14,417.82,346.25345
2026-08-17,392.99,346.24634
2026-08-18,392.43,342.19614
2026-08-19,380.00003,339.05505
2026-08-20,362.48,334.84998
2026-08-21,364.03,329.00638
2026-08-24,368.45,325.13934
2026-08-25,358.76,323.35953
2026-08-26,356.74,320.74368
2026-08-27,355.59,318.6218
2026-08-28,371.54,317.02893
2026-08-31,368.79,318.6445
2026-09-01,370.34,319.5529
2026-09-02,369.68,320.4344
2026-09-03,367.24002,320.91803
2026-09-04,357.16,320.80774
2026-09-08,357.9,319.00665
