Date,Actual,Predicted
2026-04-24,180.13,268.81857
2026-04-27,174.61,259.7992
2026-04-28,173.11,251.9626
2026-04-29,158.65,246.56332
2026-04-30,165.17,241.21796
2026-05-01,171.73999,238.8127
2026-05-04,165.34,238.64505
2026-05-05,158.23,237.98878
2026-05-06,156.52,236.56163
2026-05-07,160.24,235.3203
2026-05-08,154.86,235.08366
2026-05-11,147.79,234.28308
2026-05-12,147.92,232.69977
2026-05-13,143.06,231.60649
2026-05-14,148.0,230.24979
2026-05-15,140.33,230.08281
2026-05-18,141.21,229.01936
2026-05-19,142.5,228.38997
2026-05-20,144.61,228.22461
2026-05-21,148.9,228.49776
2026-05-22,145.15,229.36913
2026-05-26,144.0,229.47377
2026-05-27,147.18,229.29243
2026-05-28,147.26,229.58586
2026-05-29,144.05,229.83311
2026-06-01,142.6,229.52606
2026-06-02,140.27,229.04874
2026-06-03,129.01,228.37083
2026-06-04,129.05,226.27458
2026-06-05,132.12,224.7625
2026-06-08,132.2,224.29144
2026-06-09,135.37,224.15324
2026-06-10,137.79,224.6035
2026-06-11,139.14,225.33794
2026-06-12,145.82,226.05783
2026-06-15,143.71,227.49168
2026-06-16,141.78,228.1897
2026-06-17,132.0,228.27068
2026-06-18,126.23,226.8044
2026-06-22,125.54,224.81473
2026-06-23,131.75,223.34192
2026-06-24,131.42,223.35196
2026-06-25,129.65,223.51991
2026-06-26,133.64,223.43886
2026-06-29,146.17,223.9503
2026-06-30,142.21,226.16206
2026-07-01,139.84,227.22937
2026-07-02,137.2,227.45615
2026-07-06,135.44,227.08473
2026-07-07,138.02,226.48329
2026-07-08,133.54,226.41914
2026-07-09,134.35,225.7877
2026-07-10,130.73,225.44223
2026-07-13,131.37,224.72795
2026-07-14,127.91,224.32637
2026-07-15,131.24,223.60847
2026-07-16,133.33,223.60245
2026-07-17,131.37,223.99104
2026-07-20,129.16,224.02519
2026-07-21,127.79,223.69737
2026-07-22,129.22,223.23993
2026-07-23,126.49999,223.1293
2026-07-24,123.31,222.70757
2026-07-27,131.61,221.94943
2026-07-28,139.97,222.61801
2026-07-29,145.2,224.42741
2026-07-30,142.0,226.51561
2026-07-31,144.98,227.44893
2026-08-03,144.1,228.33217
2026-08-04,153.07,228.72484
2026-08-05,153.17,230.19588
2026-08-06,157.44,231.26616
2026-08-07,152.57,232.53415
2026-08-10,153.29,232.64847
2026-08-11,157.69,232.6736
2026-08-12,150.22,233.28516
2026-08-13,156.53,232.6483
2026-08-14,154.27,233.00978
2026-08-17,144.1,233.01094
2026-08-18,148.35,231.50014
2026-08-19,152.47002,230.95695
2026-08-20,147.76,231.29742
2026-08-21,150.17,230.96042
2026-08-24,150.3,231.03796
2026-08-25,155.14,231.15205
2026-08-26,153.89,231.9421
2026-08-27,148.32,232.35478
2026-08-28,153.62,231.7746
2026-08-31,152.44,232.04135
2026-09-01,146.19,232.1214
2026-09-02,158.97,231.25174
2026-09-03,151.38,232.43373
2026-09-04,151.99,232.3246
2026-09-08,145.74,232.22168
2026-09-09,133.89,231.22646
2026-09-10,140.56,228.74847
2026-09-11,145.77,227.92686
