Date,Actual,Predicted
2026-04-20,196.55,134.57709
2026-04-21,204.24002,134.96951
2026-04-22,212.36,135.44652
2026-04-23,214.65,135.97887
2026-04-24,212.14,136.28648
2026-04-27,216.09,136.28882
2026-04-28,215.97,136.43456
2026-04-29,205.93,136.49118
2026-04-30,205.66,136.08817
2026-05-01,208.95,135.89093
2026-05-04,210.17001,135.95912
2026-05-05,211.64,136.05391
2026-05-06,216.32,136.15758
2026-05-07,238.8,136.39586
2026-05-08,230.27,137.43561
2026-05-11,260.46,137.5368
2026-05-12,247.04,138.78214
2026-05-13,238.93999,138.77744
2026-05-14,243.87,138.37552
2026-05-15,247.89001,138.38661
2026-05-18,241.98999,138.57495
2026-05-19,238.03,138.4184
2026-05-20,235.26,138.17473
2026-05-21,242.92998,137.95546
2026-05-22,252.80002,138.18715
2026-05-26,295.19,138.71414
2026-05-27,305.07996,140.68758
2026-05-28,305.31998,141.96082
2026-05-29,317.05,142.45322
2026-06-01,420.91,143.07652
2026-06-02,465.96,147.45789
2026-06-03,435.30997,151.18553
2026-06-04,421.08,151.54817
2026-06-05,422.05,150.96036
2026-06-08,394.39,150.66447
2026-06-09,400.77,149.4661
2026-06-10,381.77997,149.15663
2026-06-11,369.83,148.32918
2026-06-12,391.45,147.48941
2026-06-15,395.56998,147.98799
2026-06-16,409.07,148.43361
2026-06-17,404.08,149.15466
2026-06-18,419.32,149.27931
2026-06-22,409.5,149.8917
2026-06-23,418.71,149.7902
2026-06-24,427.78,150.06609
2026-06-25,434.06,150.54904
2026-06-26,409.44998,151.00754
2026-06-29,399.49,150.25067
2026-06-30,414.61,149.47365
2026-07-01,431.46,149.72372
2026-07-02,425.25,150.53726
2026-07-06,394.32,150.6799
2026-07-07,411.8,149.50824
2026-07-08,417.28,149.61508
2026-07-09,431.96997,149.93419
2026-07-10,450.22003,150.65579
2026-07-13,434.97,151.6875
2026-07-14,427.11,151.55978
2026-07-15,457.54,151.13939
2026-07-16,412.68,152.10297
2026-07-17,391.37997,150.86253
2026-07-20,396.34,149.38997
2026-07-21,381.88,148.93361
2026-07-22,404.14996,148.22902
2026-07-23,441.8,148.8001
2026-07-24,439.34,150.57178
2026-07-27,437.5,151.29697
2026-07-28,426.90997,151.48389
2026-07-29,392.09998,151.11823
2026-07-30,369.64,149.57463
2026-07-31,404.81,147.9667
2026-08-03,405.37,148.65732
2026-08-04,429.02,149.09676
2026-08-05,467.27,150.2032
2026-08-06,462.7,152.17499
2026-08-07,437.65,152.88548
2026-08-10,453.77,152.16624
2026-08-11,457.88,152.38477
2026-08-12,440.97,152.67386
2026-08-13,484.5,152.15883
2026-08-14,494.51004,153.55116
2026-08-17,490.81003,154.62381
2026-08-18,479.81,154.939
2026-08-19,468.65,154.61897
2026-08-20,437.54996,154.01683
2026-08-21,434.78,152.55109
2026-08-24,442.08,151.76157
2026-08-25,433.19,151.73706
2026-08-26,451.50003,151.43362
2026-08-27,463.82,151.99893
2026-08-28,472.26004,152.75826
2026-08-31,456.24002,153.4188
2026-09-01,456.01,153.08995
2026-09-02,425.0,152.88283
2026-09-03,492.20004,151.60608
2026-09-04,516.39,153.56018
