Date,Actual,Predicted
2026-03-10,307.04,340.61707
2026-03-11,308.7,340.8347
2026-03-12,303.55,341.42847
2026-03-13,302.28,340.9607
2026-03-16,305.56,340.25677
2026-03-17,310.92,340.3172
2026-03-18,307.69,341.50668
2026-03-19,307.13,341.91177
2026-03-20,301.0,342.09766
2026-03-23,302.06,340.91327
2026-03-24,290.44,340.07416
2026-03-25,290.93,337.0091
2026-03-26,280.92,334.36383
2026-03-27,274.34,330.08133
2026-03-30,273.5,324.9089
2026-03-31,287.56,320.23553
2026-04-01,297.39,319.18207
2026-04-02,295.77,320.5418
2026-04-06,299.99,321.5342
2026-04-07,305.46,323.24045
2026-04-08,317.32,325.7876
2026-04-09,318.49,330.45374
2026-04-10,317.24,334.77777
2026-04-13,321.31,338.22275
2026-04-14,332.91,341.91025
2026-04-15,337.12,347.32742
2026-04-16,336.02,352.78073
2026-04-17,341.68,357.1821
2026-04-20,337.42,361.91275
2026-04-21,332.29,365.08414
2026-04-22,339.32,366.68613
2026-04-23,338.89,369.34814
2026-04-24,344.4,371.52112
2026-04-27,350.34,374.38934
2026-04-28,349.78,377.89282
2026-04-29,349.94,380.67392
2026-04-30,384.8,382.87915
2026-05-01,385.68997,390.81973
2026-05-04,383.25,397.50592
2026-05-05,388.43,402.34863
2026-05-06,398.04,406.94275
2026-05-07,397.99,412.07382
2026-05-08,400.8,416.07748
2026-05-11,388.64,419.6235
2026-05-12,387.35,420.41217
2026-05-13,402.62,420.74487
2026-05-14,401.07,423.41397
2026-05-15,396.78,425.30304
2026-05-18,396.94,426.10205
2026-05-19,387.66,426.75186
2026-05-20,388.91,425.82172
2026-05-21,387.66,425.26968
2026-05-22,382.97,424.65805
2026-05-26,388.88,423.4456
2026-05-27,388.83,423.42572
2026-05-28,390.13,423.42923
2026-05-29,380.34,423.6441
2026-06-01,376.37,422.20663
2026-06-02,361.85,420.41617
2026-06-03,358.99,416.64438
2026-06-04,372.19,413.12906
2026-06-05,368.53,412.49432
2026-06-08,363.31,411.45813
2026-06-09,364.26,409.76907
2026-06-10,356.38,408.5812
2026-06-11,357.77,406.3089
2026-06-12,359.68,404.65915
2026-06-15,369.35,403.6681
2026-06-16,373.25,404.53644
2026-06-17,363.79,405.92706
2026-06-18,368.03,405.46777
2026-06-22,349.68,405.7493
2026-06-23,346.13,402.85422
2026-06-24,345.29,399.83038
2026-06-25,343.71,397.20007
2026-06-26,337.39,394.80765
2026-06-29,353.65,391.76312
2026-06-30,357.37,392.1732
2026-07-01,361.21,393.27756
2026-07-02,359.91,394.91254
2026-07-06,366.46,396.0067
2026-07-07,367.03,397.94745
2026-07-08,361.92,399.61832
2026-07-09,358.89,400.07574
2026-07-10,357.18,399.87183
2026-07-13,352.51,399.40378
2026-07-14,359.51,398.20065
2026-07-15,370.92,398.41446
2026-07-16,354.46,400.5599
2026-07-17,346.77,399.50775
2026-07-20,351.99,397.27573
2026-07-21,347.15,396.32678
2026-07-22,342.09,394.81778
2026-07-23,317.69,392.72073
2026-07-24,319.74,386.64774
2026-07-27,326.56,381.90366
