Date,Actual,Predicted
2026-02-20,24.98,22.02545
2026-02-23,26.059998,21.975266
2026-02-24,27.799997,22.131445
2026-02-25,27.71,22.566263
2026-02-26,28.03,22.889006
2026-02-27,28.329998,23.19777
2026-03-02,26.74,23.487646
2026-03-03,24.940002,23.430897
2026-03-04,24.8,23.065653
2026-03-05,23.04,22.749443
2026-03-06,22.29,22.177237
2026-03-09,22.5,21.588673
2026-03-10,23.03,21.162233
2026-03-11,22.51,20.928213
2026-03-12,21.85,20.656118
2026-03-13,20.730001,20.327484
2026-03-16,21.14,19.865587
2026-03-17,21.210001,19.58375
2026-03-18,19.88,19.382654
2026-03-19,18.65,18.983015
2026-03-20,18.08,18.441618
2026-03-23,18.85,17.911526
2026-03-24,18.95,17.649275
2026-03-25,20.02,17.47648
2026-03-26,18.82,17.559015
2026-03-27,19.48,17.409039
2026-03-30,19.05,17.422632
2026-03-31,20.9,17.356825
2026-04-01,22.0,17.659685
2026-04-02,21.64,18.110657
2026-04-06,21.74,18.399263
2026-04-07,21.84,18.63989
2026-04-08,23.78,18.839706
2026-04-09,23.47,19.352007
2026-04-10,24.33,19.690538
2026-04-13,24.410002,20.108694
2026-04-14,25.22,20.442083
2026-04-15,24.880001,20.843353
2026-04-16,24.920002,21.086147
2026-04-17,25.88,21.275583
2026-04-20,25.670002,21.590448
2026-04-21,23.85,21.791595
2026-04-22,24.690002,21.612978
2026-04-23,24.02,21.620745
2026-04-24,24.35,21.498018
2026-04-27,24.410002,21.461042
2026-04-28,22.98,21.441551
2026-04-29,22.46,21.16413
2026-04-30,23.110003,20.849556
2026-05-01,22.800001,20.72135
2026-05-04,21.77,20.565575
2026-05-05,22.350002,20.255796
2026-05-06,24.0,20.123037
2026-05-07,23.85,20.328918
2026-05-08,25.02,20.469156
2026-05-11,25.5,20.799477
2026-05-12,27.119999,21.146551
2026-05-13,27.74,21.711012
2026-05-14,27.29,22.258074
2026-05-15,24.950003,22.598854
2026-05-18,24.26,22.439604
2026-05-19,23.96,22.183777
2026-05-20,24.49,21.919624
2026-05-21,24.74,21.804188
2026-05-22,24.390001,21.758621
2026-05-26,26.549997,21.661242
2026-05-27,26.589998,21.9796
2026-05-28,28.23,22.236076
2026-05-29,29.16,22.731888
2026-06-01,30.59,23.27789
2026-06-02,31.87,23.945906
2026-06-03,30.33,24.672232
2026-06-04,30.120003,24.963545
2026-06-05,25.660002,25.153034
2026-06-08,26.109999,24.532417
2026-06-09,25.59,24.12855
2026-06-10,24.680002,23.708164
2026-06-11,26.64,23.213963
2026-06-12,27.819998,23.17573
2026-06-15,28.75,23.353798
2026-06-16,29.100002,23.660595
2026-06-17,28.17,23.962599
2026-06-18,27.589998,24.03716
2026-06-22,27.91,23.995707
2026-06-23,25.36,24.01729
2026-06-24,22.99,23.583668
2026-06-25,23.53,22.820404
2026-06-26,23.300001,22.312452
2026-06-29,23.68,21.86602
2026-06-30,23.610003,21.588879
2026-07-01,22.590002,21.364586
2026-07-02,22.590002,21.008064
2026-07-06,23.340002,20.734793
2026-07-07,21.55,20.664492
2026-07-08,20.59,20.284575
2026-07-09,21.58,19.810642
2026-07-10,21.64,19.625856
