Date,Actual,Predicted
2026-03-20,3.9500003,4.8294835
2026-03-23,4.13,4.814048
2026-03-24,4.2399993,4.8258896
2026-03-25,4.37,4.849425
2026-03-26,4.77,4.881749
2026-03-27,4.6,4.9522705
2026-03-30,4.48,4.9793787
2026-03-31,4.61,4.9778275
2026-04-01,5.18,4.989291
2026-04-02,5.11,5.066718
2026-04-06,5.31,5.1130953
2026-04-07,5.88,5.1644278
2026-04-08,5.97,5.2655787
2026-04-09,6.57,5.344439
2026-04-10,6.32,5.4638286
2026-04-13,6.61,5.5127892
2026-04-14,6.99,5.5716896
2026-04-15,6.56,5.653199
2026-04-16,6.98,5.656248
2026-04-17,7.43,5.700279
2026-04-20,7.8100004,5.7828183
2026-04-21,7.17,5.882199
2026-04-22,6.6,5.8741136
2026-04-23,5.9,5.7937355
2026-04-24,5.71,5.651983
2026-04-27,5.59,5.531445
2026-04-28,5.75,5.440786
2026-04-29,5.6,5.405229
2026-04-30,6.36,5.3705425
2026-05-01,6.14,5.4407516
2026-05-04,5.81,5.4692097
2026-05-05,6.09,5.4456396
2026-05-06,6.48,5.4590745
2026-05-07,6.17,5.5164022
2026-05-08,6.05,5.5202975
2026-05-11,6.19,5.504256
2026-05-12,5.75,5.5082293
2026-05-13,5.9,5.459652
2026-05-14,5.83,5.4420414
2026-05-15,5.53,5.424692
2026-05-18,5.2,5.3780317
2026-05-19,4.93,5.3060045
2026-05-20,4.88,5.224817
2026-05-21,5.06,5.166091
2026-05-22,5.3,5.153045
2026-05-26,5.23,5.178938
2026-05-27,5.26,5.1914806
2026-05-28,5.4900002,5.2026505
2026-05-29,5.4,5.2374187
2026-06-01,5.17,5.2506127
2026-06-02,5.21,5.229285
2026-06-03,5.16,5.217076
2026-06-04,5.1,5.2035294
2026-06-05,5.09,5.187553
2026-06-08,5.08,5.1760516
2026-06-09,5.29,5.1680264
2026-06-10,4.98,5.188945
2026-06-11,5.04,5.167317
2026-06-12,5.13,5.1573973
2026-06-15,5.13,5.1627016
2026-06-16,4.99,5.1675615
2026-06-17,4.8299994,5.1538057
2026-06-18,5.05,5.1238885
2026-06-22,5.14,5.1300716
2026-06-23,5.06,5.148121
2026-06-24,3.0,5.151407
2026-06-25,2.68,4.8980994
2026-06-26,2.64,4.673188
2026-06-29,2.3,4.5259476
2026-06-30,2.265,4.39947
2026-07-01,2.2,4.3209834
2026-07-02,2.1199996,4.270996
2026-07-06,2.05,4.234986
2026-07-07,2.1,4.206915
2026-07-08,1.97,4.197648
2026-07-09,2.17,4.1782045
2026-07-10,2.05,4.1908617
2026-07-13,1.83,4.187041
2026-07-14,1.84,4.156001
2026-07-15,1.9,4.135229
2026-07-16,1.87,4.1306353
2026-07-17,1.8,4.125949
2026-07-20,1.76,4.114726
2026-07-21,1.85,4.1023107
2026-07-22,1.93,4.105825
2026-07-23,1.9049999,4.11971
2026-07-24,1.8100001,4.126504
2026-07-27,2.0,4.11826
2026-07-28,1.765,4.135311
2026-07-29,1.67,4.118668
2026-07-30,1.655,4.0933633
2026-07-31,1.585,4.074573
2026-08-03,1.53,4.0547867
2026-08-04,1.51,4.0358777
2026-08-05,1.56,4.0220633
2026-08-06,2.02,4.0205975
2026-08-07,2.27,4.0788064
