Date,Actual,Predicted
2026-02-25,237.54,243.7487
2026-02-26,242.01,242.16542
2026-02-27,240.21,241.85716
2026-03-02,239.37,241.48874
2026-03-03,245.28,241.12958
2026-03-04,250.06,241.77194
2026-03-05,256.55,243.02965
2026-03-06,258.85,245.00209
2026-03-09,253.33,246.8583
2026-03-10,250.2,247.37187
2026-03-11,248.87,247.19527
2026-03-12,247.68001,246.79933
2026-03-13,246.28,246.29797
2026-03-16,249.25,245.70459
2026-03-17,256.11,245.7229
2026-03-18,251.60002,246.82697
2026-03-19,250.37,247.00183
2026-03-20,241.76999,246.91394
2026-03-23,248.44,245.48846
2026-03-24,240.59,245.40027
2026-03-25,241.39,244.16875
2026-03-26,241.67,243.36032
2026-03-27,236.34,242.81985
2026-03-30,237.25002,241.6358
2026-03-31,242.39,240.88828
2026-04-01,243.14,241.13858
2026-04-02,248.16,241.49854
2026-04-06,246.74,242.55365
2026-04-07,245.07,243.14867
2026-04-08,241.74,243.31459
2026-04-09,237.18,242.89485
2026-04-10,230.76,241.85349
2026-04-13,237.82002,240.08159
2026-04-14,240.27,239.81241
2026-04-15,244.8,240.05911
2026-04-16,251.0,240.98372
2026-04-17,253.47,242.65376
2026-04-20,253.71,244.30502
2026-04-21,255.68,245.56047
2026-04-22,251.86,246.76161
2026-04-23,231.08,247.03506
2026-04-24,231.98,243.97694
2026-04-27,228.05,241.71057
2026-04-28,233.04,239.45055
2026-04-29,227.1,238.57759
2026-04-30,230.97998,237.14728
2026-05-01,232.2,236.6932
2026-05-04,229.48,236.59955
2026-05-05,229.03,236.16838
2026-05-06,225.74,235.78242
2026-05-07,231.31,235.01814
2026-05-08,229.76,235.27036
2026-05-11,223.55,235.28104
2026-05-12,219.22,234.381
2026-05-13,214.64001,233.04854
2026-05-14,218.37,231.39186
2026-05-15,219.3,230.72336
2026-05-18,222.75,230.44339
2026-05-19,222.32999,230.78996
2026-05-20,224.99998,231.0311
2026-05-21,252.97,231.59634
2026-05-22,253.84001,236.1296
2026-05-26,250.69,239.81598
2026-05-27,255.2,242.03888
2026-05-28,264.22,244.24968
2026-05-29,297.8,247.21973
2026-06-01,320.42,254.70984
2026-06-02,329.23,264.1216
2026-06-03,305.62997,272.71582
2026-06-04,301.77,275.32675
2026-06-05,284.84,276.54486
2026-06-08,280.82,274.58768
2026-06-09,277.49,272.37247
2026-06-10,272.36,270.091
2026-06-11,274.85,267.50824
2026-06-12,272.24,265.9425
2026-06-15,268.71,264.34222
2026-06-16,270.81,262.56805
2026-06-17,262.35,261.55908
2026-06-18,249.1,259.4503
2026-06-22,252.22,255.72824
2026-06-23,264.94,253.37637
2026-06-24,262.96,253.66077
2026-06-25,258.27,253.68655
2026-06-26,271.63,253.00397
2026-06-29,278.0,254.58359
2026-06-30,281.21,256.84375
2026-07-01,286.25,259.10736
2026-07-02,289.52,261.6302
2026-07-06,299.52,264.06287
2026-07-07,306.12997,267.5118
2026-07-08,302.05,271.21
2026-07-09,295.3,273.35806
2026-07-10,287.56,273.86304
2026-07-13,290.23,272.93796
2026-07-14,217.07,272.62625
2026-07-15,211.2,260.46268
