Date,Actual,Predicted
2025-12-15,37.51,28.228443
2025-12-16,37.31,28.01028
2025-12-17,36.05,27.860004
2025-12-18,36.28,27.605661
2025-12-19,36.82,27.49525
2025-12-22,36.37,27.504583
2025-12-23,36.35,27.448034
2025-12-24,36.16,27.414583
2025-12-26,36.2,27.37029
2025-12-29,36.68,27.351177
2025-12-30,37.3,27.404922
2025-12-31,36.9,27.517653
2026-01-02,39.38,27.526356
2026-01-05,39.37,27.86572
2026-01-06,40.04,28.05052
2026-01-07,42.63,28.245398
2026-01-08,41.11,28.701317
2026-01-09,45.55,28.750002
2026-01-12,44.06,29.374798
2026-01-13,47.29,29.519108
2026-01-14,48.72,30.034817
2026-01-15,48.320004,30.508919
2026-01-16,46.96,30.721188
2026-01-20,48.56,30.662766
2026-01-21,54.25,30.845016
2026-01-22,54.320004,31.695293
2026-01-23,45.069996,32.171032
2026-01-26,42.49,31.223238
2026-01-27,43.930004,30.36409
2026-01-28,48.780003,30.071686
2026-01-29,48.66,30.544714
2026-01-30,46.47,30.783957
2026-02-02,48.809998,30.629988
2026-02-03,49.25,30.858583
2026-02-04,48.6,31.040977
2026-02-05,48.240005,31.057617
2026-02-06,50.59,31.021358
2026-02-09,50.24,31.312355
2026-02-10,47.13,31.425367
2026-02-11,48.289997,31.079748
2026-02-12,46.48,31.044523
2026-02-13,46.789997,30.781866
2026-02-17,46.18,30.67773
2026-02-18,45.46,30.536621
2026-02-19,44.62,30.36214
2026-02-20,44.11,30.153044
2026-02-23,43.630005,29.968336
2026-02-24,46.12,29.800604
2026-02-25,46.88,30.03776
2026-02-26,45.46,30.267075
2026-02-27,45.61,30.206963
2026-03-02,45.5,30.196722
2026-03-03,43.1,30.17617
2026-03-04,45.58,29.845612
2026-03-05,45.95,29.993673
2026-03-06,43.42,30.120548
2026-03-09,45.58,29.855097
2026-03-10,46.78,29.998125
2026-03-11,47.98,30.233416
2026-03-12,45.25,30.523108
2026-03-13,45.77,30.322565
2026-03-16,45.76,30.284765
2026-03-17,44.06,30.260735
2026-03-18,45.03,30.02096
2026-03-19,46.18,30.017757
2026-03-20,43.869995,30.166208
2026-03-23,44.01,29.94037
2026-03-24,44.06,29.836454
2026-03-25,47.18,29.783745
2026-03-26,44.1,30.168573
2026-03-27,43.13,29.96972
2026-03-30,41.19,29.735462
2026-03-31,44.13,29.346222
2026-04-01,48.03,29.521767
2026-04-02,50.38,30.132755
2026-04-06,50.78,30.780537
2026-04-07,52.91,31.194921
2026-04-08,58.95,31.710472
2026-04-09,61.72,32.789673
2026-04-10,62.38,33.744595
2026-04-13,65.18,34.36327
2026-04-14,63.809998,35.07334
2026-04-15,64.94,35.292946
2026-04-16,68.5,35.566895
2026-04-17,68.5,36.173782
2026-04-20,65.7,36.507362
2026-04-21,66.26,36.34117
2026-04-22,65.27,36.32643
2026-04-23,66.78,36.19027
2026-04-24,82.54,36.307575
2026-04-27,84.990005,38.350674
2026-04-28,84.520004,39.747257
2026-04-29,94.75001,40.468304
2026-04-30,94.48,42.106853
2026-05-01,99.62,42.957157
2026-05-04,95.78,44.038826
