Date,Actual,Predicted
2026-03-06,36.7,38.256298
2026-03-09,38.84,37.20792
2026-03-10,38.12,36.725372
2026-03-11,41.979996,36.223362
2026-03-12,41.37,36.610508
2026-03-13,41.58,36.87675
2026-03-16,44.94,37.136864
2026-03-17,42.96,38.02231
2026-03-18,42.21,38.392464
2026-03-19,41.66,38.501076
2026-03-20,41.29,38.448387
2026-03-23,42.159996,38.317863
2026-03-24,41.12,38.37687
2026-03-25,41.429996,38.227062
2026-03-26,37.45,38.156326
2026-03-27,35.09,37.295902
2026-03-30,31.62,36.055855
2026-03-31,34.28,34.301884
2026-04-01,34.09,33.382084
2026-04-02,34.77,32.661472
2026-04-06,35.13,32.25122
2026-04-07,35.739998,32.02663
2026-04-08,36.83,31.985445
2026-04-09,37.059998,32.192276
2026-04-10,39.32,32.424274
2026-04-13,43.07,33.077248
2026-04-14,47.37,34.402016
2026-04-15,48.82,36.402325
2026-04-16,47.7,38.38022
2026-04-17,48.12,39.757927
2026-04-20,48.72,40.90243
2026-04-21,45.169994,41.918896
2026-04-22,48.39,42.013985
2026-04-23,52.02,42.658596
2026-04-24,50.639996,43.93737
2026-04-27,48.36,44.75887
2026-04-28,44.44,44.941963
2026-04-29,42.86,44.25738
2026-04-30,45.51,43.306984
2026-05-01,45.66,43.0359
2026-05-04,49.48,42.9001
2026-05-05,54.739998,43.568222
2026-05-06,60.98,45.211193
2026-05-07,56.85,47.828373
2026-05-08,61.199997,49.209064
2026-05-11,55.149998,51.043766
2026-05-12,56.56,51.366096
2026-05-13,55.17,51.769585
2026-05-14,58.399998,51.81823
2026-05-15,52.94,52.444283
2026-05-18,50.459995,51.95556
2026-05-19,47.74,51.015667
2026-05-20,52.709995,49.700897
2026-05-21,58.06,49.56371
2026-05-22,56.83,50.561947
2026-05-26,59.779995,51.229843
2026-05-27,67.84,52.306267
2026-05-28,64.05,54.68329
2026-05-29,63.539997,55.955227
2026-06-01,65.33,56.783123
2026-06-02,66.6,57.70792
2026-06-03,65.48,58.65305
2026-06-04,61.859997,59.18677
2026-06-05,54.35,58.923748
2026-06-08,59.19,57.30683
2026-06-09,54.019997,56.80617
2026-06-10,51.52,55.54362
2026-06-11,56.709995,54.034023
2026-06-12,59.77,53.776955
2026-06-15,60.85,54.228863
2026-06-16,59.18,54.856884
2026-06-17,58.109997,55.065357
2026-06-18,59.96,55.001316
2026-06-22,56.87,55.25731
2026-06-23,54.72,54.90298
2026-06-24,50.299995,54.18115
2026-06-25,47.74,52.73989
2026-06-26,47.209995,51.032284
2026-06-29,45.909996,49.535366
2026-06-30,45.729996,48.089634
2026-07-01,43.32,46.887188
2026-07-02,38.82,45.455597
2026-07-06,43.91,43.382126
2026-07-07,39.815,42.65616
2026-07-08,43.004997,41.356167
2026-07-09,41.719997,40.892906
2026-07-10,41.139996,40.326256
2026-07-13,38.98,39.746475
2026-07-14,38.59,38.823833
2026-07-15,38.279995,37.9596
2026-07-16,34.83,37.19456
2026-07-17,33.62,35.884003
2026-07-20,40.2,34.53274
2026-07-21,41.29,34.7687
2026-07-22,41.28,35.324406
2026-07-23,40.58,35.822403
2026-07-24,37.07,36.08913
