Date,Actual,Predicted
2025-12-31,194.39,209.03526
2026-01-02,197.8,209.28387
2026-01-05,198.72,209.77626
2026-01-06,194.59,210.17198
2026-01-07,196.07,209.9942
2026-01-08,196.5,210.02025
2026-01-09,194.18,210.08087
2026-01-12,193.44,209.88731
2026-01-13,193.69,209.6903
2026-01-14,199.72,209.59456
2026-01-15,202.74002,210.14554
2026-01-16,206.7,210.79959
2026-01-20,203.04,211.59975
2026-01-21,207.3,211.7157
2026-01-22,206.79,212.19942
2026-01-23,207.35,212.44363
2026-01-26,206.51,212.64548
2026-01-27,205.73,212.6805
2026-01-28,208.04,212.61903
2026-01-29,212.99,212.81232
2026-01-30,211.52,213.43471
2026-02-02,207.76,213.67221
2026-02-03,210.96,213.42888
2026-02-04,213.86,213.59212
2026-02-05,210.54,213.98958
2026-02-06,213.11,213.90152
2026-02-09,215.65,214.10014
2026-02-10,218.37,214.47932
2026-02-11,219.41,214.98912
2026-02-12,217.69,215.4055
2026-02-13,220.79,215.48053
2026-02-17,219.01,215.83281
2026-02-18,223.72,215.8676
2026-02-19,226.19,216.36316
2026-02-20,226.47002,216.91908
2026-02-23,223.35,217.28638
2026-02-24,220.96,217.18744
2026-02-25,220.68,216.87582
2026-02-26,232.51,216.65326
2026-02-27,235.73,217.72153
2026-03-02,248.93,218.71492
2026-03-03,246.07002,220.66083
2026-03-04,248.98,221.54811
2026-03-05,249.54001,222.36894
2026-03-06,255.15,222.91113
2026-03-09,250.8,223.80536
2026-03-10,245.76,223.90341
2026-03-11,250.32,223.44806
2026-03-12,253.84,223.62979
2026-03-13,252.27002,224.09906
2026-03-16,251.29,224.22809
2026-03-17,251.50002,224.2049
2026-03-18,266.22,224.20792
2026-03-19,281.87,225.70287
2026-03-20,280.89,228.19038
2026-03-23,287.2,229.5847
2026-03-24,294.58,231.05527
2026-03-25,284.39,232.66486
2026-03-26,291.40002,232.60071
2026-03-27,296.91,233.28156
2026-03-30,293.64,234.22897
2026-03-31,283.76,234.47058
2026-04-01,275.84,233.63469
2026-04-02,281.16,232.34561
2026-04-06,284.05,232.10747
2026-04-07,284.27,232.24844
2026-04-08,275.21,232.3582
2026-04-09,265.77,231.51143
2026-04-10,265.54,230.05296
2026-04-13,261.6,229.149
2026-04-14,259.68,228.20213
2026-04-15,256.75,227.44179
2026-04-16,262.74,226.68602
2026-04-17,251.07002,226.83821
2026-04-20,252.35,225.745
2026-04-21,257.78,225.21715
2026-04-22,257.48,225.44463
2026-04-23,257.19,225.55739
2026-04-24,257.09,225.59935
2026-04-27,259.4,225.61223
2026-04-28,264.98,225.85326
2026-04-29,272.23,226.56506
2026-04-30,274.95,227.72949
2026-05-01,270.06,228.70474
2026-05-04,272.85,228.79529
2026-05-05,269.52,229.13113
2026-05-06,261.42,228.99171
2026-05-07,246.78,228.09215
2026-05-08,240.11,226.06532
2026-05-11,240.7,224.16016
2026-05-12,244.31001,223.06496
2026-05-13,239.38,222.77873
2026-05-14,241.08,222.11513
2026-05-15,241.84,221.8862
2026-05-18,247.74,221.82306
2026-05-19,246.77,222.38695
2026-05-20,243.66002,222.63322
