Date,Actual,Predicted
2026-04-23,674.72,653.52423
2026-04-24,659.15,654.0445
2026-04-27,675.02997,652.37836
2026-04-28,678.62,653.2983
2026-04-29,671.34,654.39417
2026-04-30,669.12,654.2014
2026-05-01,611.91,653.7602
2026-05-04,608.75,646.0735
2026-05-05,610.41,640.49133
2026-05-06,604.96,637.05853
2026-05-07,612.87994,634.27124
2026-05-08,616.81,633.56915
2026-05-11,609.63,633.72284
2026-05-12,598.86,632.9823
2026-05-13,603.0,631.1306
2026-05-14,616.63,630.4156
2026-05-15,618.43,631.7113
2026-05-18,614.2299,632.872
2026-05-19,611.21,633.1135
2026-05-20,602.61,632.848
2026-05-21,605.06,631.55414
2026-05-22,607.38,630.98865
2026-05-26,610.26,630.9381
2026-05-27,612.34,631.3065
2026-05-28,635.25995,631.834
2026-05-29,635.29,635.08386
2026-06-01,632.51,637.2724
2026-06-02,600.47,638.31177
2026-06-03,597.63,634.8409
2026-06-04,622.98,632.0711
2026-06-05,627.57,633.4608
2026-06-08,593.0,635.11273
2026-06-09,585.39,631.8765
2026-06-10,584.59,628.6769
2026-06-11,570.98,626.4628
2026-06-12,568.43,623.40155
2026-06-15,566.98,621.145
2026-06-16,593.48,619.5835
2026-06-17,600.21,621.9462
2026-06-18,567.58,624.4893
2026-06-22,577.22,622.09546
2026-06-23,563.85,621.55884
2026-06-24,562.2,619.5637
2026-06-25,557.67,618.0639
2026-06-26,542.87,616.5807
2026-06-29,550.25,613.85443
2026-06-30,562.6,613.0036
2026-07-01,563.29,614.0741
2026-07-02,612.91,614.9689
2026-07-06,582.9,621.6943
2026-07-07,600.29,622.47534
2026-07-08,615.58,624.92676
2026-07-09,603.12,628.3628
2026-07-10,631.48,629.01733
2026-07-13,669.21,632.8976
2026-07-14,656.73,640.24915
2026-07-15,661.04,643.5289
2026-07-16,681.31,646.08405
2026-07-17,664.54,650.23486
2026-07-20,646.01,650.7725
2026-07-21,645.85,648.6472
2026-07-22,643.80994,647.12036
2026-07-23,627.17,645.83954
2026-07-24,606.1,642.8949
2026-07-27,595.19,638.26465
2026-07-28,593.87,633.82666
2026-07-29,593.41,630.8028
2026-07-30,585.61,628.8839
2026-07-31,539.03,626.7673
2026-08-03,556.71,619.6519
2026-08-04,590.24,617.13727
2026-08-05,587.94,619.85583
2026-08-06,588.77,621.6355
2026-08-07,589.9,622.9177
2026-08-10,592.1,623.82825
2026-08-11,594.92,624.6374
2026-08-12,599.12,625.483
2026-08-13,578.85,626.5419
2026-08-14,594.97,624.685
2026-08-17,589.85,625.3975
2026-08-18,568.97,625.2787
2026-08-19,543.67,622.60065
2026-08-20,546.03,617.659
2026-08-21,545.83,614.70306
2026-08-24,549.9,612.90173
2026-08-25,559.02,612.38684
2026-08-26,570.05,613.29114
2026-08-27,576.14,615.3166
2026-08-28,571.1,617.4165
2026-08-31,578.02,618.1231
2026-09-01,572.34,619.3426
2026-09-02,578.54,619.39813
2026-09-03,592.85,620.14526
2026-09-04,610.68,622.4082
2026-09-08,616.77,626.1445
2026-09-09,613.48,629.36145
