Date,Actual,Predicted
2026-04-06,48.770004,38.916073
2026-04-07,50.110004,38.82276
2026-04-08,52.1,38.910156
2026-04-09,51.28,39.158737
2026-04-10,50.96,39.205673
2026-04-13,50.68,39.193962
2026-04-14,52.84,39.157627
2026-04-15,54.26,39.35663
2026-04-16,54.68,39.60548
2026-04-17,53.720005,39.776146
2026-04-20,54.59,39.764282
2026-04-21,54.23,39.842495
2026-04-22,55.600002,39.846573
2026-04-23,52.85,39.98647
2026-04-24,50.73,39.781414
2026-04-27,48.7,39.457596
2026-04-28,47.140003,39.08491
2026-04-29,45.72,38.73746
2026-04-30,45.94,38.4189
2026-05-01,45.37,38.280445
2026-05-04,47.3,38.156567
2026-05-05,46.71,38.28896
2026-05-06,48.79,38.30143
2026-05-07,48.54,38.51574
2026-05-08,54.35,38.60224
2026-05-11,52.880005,39.23078
2026-05-12,53.270004,39.41031
2026-05-13,50.42,39.534615
2026-05-14,50.03,39.306557
2026-05-15,49.04,39.144787
2026-05-18,48.11,38.96291
2026-05-19,45.72,38.777225
2026-05-20,48.12,38.442535
2026-05-21,47.26,38.511875
2026-05-22,46.88,38.467575
2026-05-26,47.03,38.40635
2026-05-27,47.61,38.389477
2026-05-28,47.57,38.439907
2026-05-29,47.190002,38.46282
2026-06-01,46.06,38.435825
2026-06-02,45.64,38.307217
2026-06-03,49.06,38.197567
2026-06-04,51.590004,38.48639
2026-06-05,47.440002,38.895844
2026-06-08,47.6,38.688633
2026-06-09,47.730003,38.588455
2026-06-10,45.99,38.55002
2026-06-11,49.64,38.357044
2026-06-12,49.910004,38.624546
2026-06-15,52.13,38.795673
2026-06-16,55.400005,39.106613
2026-06-17,61.8,39.59694
2026-06-18,63.959995,40.497936
2026-06-22,59.345,41.18225
2026-06-23,61.0,41.058197
2026-06-24,60.42,41.14823
2026-06-25,59.75,41.13501
2026-06-26,67.27,41.05993
2026-06-29,69.7,41.78536
2026-06-30,70.03,42.414715
2026-07-01,72.5,42.76981
2026-07-02,79.76,43.196926
2026-07-06,81.80001,44.154953
2026-07-07,79.77,44.858112
2026-07-08,73.8,45.006004
2026-07-09,76.560005,44.46122
2026-07-10,68.27,44.453667
2026-07-13,67.01,43.60801
2026-07-14,67.44,43.040905
2026-07-15,68.28,42.797783
2026-07-16,63.15,42.76701
2026-07-17,61.82,42.23441
2026-07-20,59.49,41.821594
2026-07-21,59.660004,41.37474
2026-07-22,58.07,41.165115
2026-07-23,57.02,40.90147
2026-07-24,54.070004,40.661358
2026-07-27,55.63,40.24075
2026-07-28,55.805,40.182003
2026-07-29,54.49,40.175552
2026-07-30,57.92,40.041576
2026-07-31,54.82,40.3188
2026-08-03,55.14,40.151882
2026-08-04,56.99,40.09328
2026-08-05,56.255,40.250767
2026-08-06,53.86,40.26045
2026-08-07,59.170002,40.02122
2026-08-10,59.81,40.432594
2026-08-11,60.57,40.716766
2026-08-12,63.669994,40.938694
2026-08-13,63.65,41.364456
2026-08-14,63.319996,41.581352
2026-08-17,64.46,41.655106
2026-08-18,62.96,41.805073
2026-08-19,174.38,41.72925
2026-08-20,133.32,53.08182
2026-08-21,145.13,54.715298
