Date,Actual,Predicted
2026-04-13,131.3,95.38618
2026-04-14,133.83,96.586
2026-04-15,134.6,97.57121
2026-04-16,133.37,98.242874
2026-04-17,139.69,98.518974
2026-04-20,147.84,99.33694
2026-04-21,151.31001,100.6614
2026-04-22,157.32,101.81102
2026-04-23,165.56,103.11761
2026-04-24,164.31,104.73841
2026-04-27,158.21,105.58961
2026-04-28,153.23,105.49269
2026-04-29,156.57,104.92981
2026-04-30,165.15,104.92179
2026-05-01,164.95,105.775764
2026-05-04,163.66,106.268936
2026-05-05,168.75,106.44175
2026-05-06,172.15,107.05815
2026-05-07,160.01,107.76907
2026-05-08,170.13,106.9855
2026-05-11,170.84,107.52759
2026-05-12,164.50002,107.91878
2026-05-13,177.95001,107.524185
2026-05-14,182.58,108.6291
2026-05-15,176.89,109.75117
2026-05-18,168.93001,109.872856
2026-05-19,176.27,109.16073
2026-05-20,186.80002,109.455505
2026-05-21,190.69,110.66813
2026-05-22,196.33,111.784386
2026-05-26,208.26001,113.01688
2026-05-27,198.7,114.921745
2026-05-28,204.83,115.15872
2026-05-29,205.0,115.89804
2026-06-01,219.43001,116.35979
2026-06-02,290.79,118.0165
2026-06-03,301.65,125.57813
2026-06-04,316.43,131.05173
2026-06-05,263.47,135.6307
2026-06-08,288.85,133.92415
2026-06-09,266.88,135.04262
2026-06-10,252.59,133.82118
2026-06-11,280.71,131.79582
2026-06-12,279.7,132.99605
2026-06-15,308.88,133.63939
2026-06-16,278.67,136.52542
2026-06-17,289.54,135.74278
2026-06-18,310.58,136.1872
2026-06-22,307.86,138.22632
2026-06-23,279.04,139.25346
2026-06-24,276.7,137.47343
2026-06-25,281.26,136.15747
2026-06-26,266.77,135.72302
2026-06-29,277.75,134.19916
2026-06-30,297.89,134.20457
2026-07-01,272.04996,135.93143
2026-07-02,245.29001,134.79088
2026-07-06,249.27,131.73637
2026-07-07,230.7,130.17923
2026-07-08,231.71,127.52772
2026-07-09,243.27,125.971
2026-07-10,235.81,126.06468
2026-07-13,217.53001,125.44408
2026-07-14,222.44,123.3797
2026-07-15,206.26,122.564415
2026-07-16,188.3,120.53919
2026-07-17,188.68001,117.5749
2026-07-20,194.94,115.780304
2026-07-21,207.96,115.280716
2026-07-22,210.99002,116.2323
2026-07-23,209.32,117.10825
2026-07-24,194.23001,117.49384
2026-07-27,189.17,116.28887
2026-07-28,174.47,115.06175
2026-07-29,163.40001,112.867386
2026-07-30,183.3,110.422646
2026-07-31,187.56,110.89478
2026-08-03,193.78001,111.59234
2026-08-04,218.59,112.63438
2026-08-05,211.02,115.670555
2026-08-06,210.54,116.79051
2026-08-07,218.72002,117.438896
2026-08-10,208.56,118.61075
2026-08-11,212.31,118.35857
2026-08-12,217.08,118.56028
2026-08-13,222.18,119.129684
2026-08-14,222.02,119.95631
2026-08-17,234.33,120.446526
2026-08-18,216.00002,121.897224
2026-08-19,237.27,121.07253
2026-08-20,251.01001,122.55374
2026-08-21,237.04001,124.71206
2026-08-24,229.29001,124.75831
2026-08-25,240.38,124.07685
2026-08-26,245.11002,124.673515
2026-08-27,241.45001,125.46579
2026-08-28,216.62001,125.61862
