Date,Actual,Predicted
2026-03-18,391.79,423.74762
2026-03-19,389.02,422.4428
2026-03-20,381.87,421.05762
2026-03-23,383.0,419.0218
2026-03-24,372.74,417.8061
2026-03-25,371.04,415.52554
2026-03-26,365.97,413.70316
2026-03-27,356.77,411.8057
2026-03-30,358.96,409.20734
2026-03-31,370.17,407.8206
2026-04-01,369.37,408.77817
2026-04-02,373.46,409.59167
2026-04-06,372.88,410.7882
2026-04-07,372.29,411.5242
2026-04-08,374.33,411.85727
2026-04-09,373.07,412.31912
2026-04-10,370.87,412.41928
2026-04-13,384.37003,412.09943
2026-04-14,393.11,413.8977
2026-04-15,411.21997,416.63644
2026-04-16,420.26004,421.36447
2026-04-17,422.78998,426.10764
2026-04-20,418.07004,429.63895
2026-04-21,424.16,431.05582
2026-04-22,432.92,432.65463
2026-04-23,415.75,435.03296
2026-04-24,424.62,433.94077
2026-04-27,424.82,434.245
2026-04-28,429.25,434.54572
2026-04-29,424.46,435.45422
2026-04-30,407.77997,435.3636
2026-05-01,414.44,432.55957
2026-05-04,413.62,431.44635
2026-05-05,411.38,430.70435
2026-05-06,413.95996,429.9322
2026-05-07,420.77,429.85034
2026-05-08,415.12003,430.95755
2026-05-11,412.66003,430.9487
2026-05-12,407.77002,430.46268
2026-05-13,405.21,429.29913
2026-05-14,409.43,428.04013
2026-05-15,421.92,427.85077
2026-05-18,423.54,429.81064
2026-05-19,417.42,431.62634
2026-05-20,421.06003,431.89432
2026-05-21,419.09003,432.47888
2026-05-22,418.57004,432.54733
2026-05-26,416.03,432.4459
2026-05-27,412.66998,431.94257
2026-05-28,426.99002,431.02615
2026-05-29,450.24,432.62778
2026-06-01,460.52,437.62946
2026-06-02,441.31,443.00595
2026-06-03,427.34,443.6551
2026-06-04,428.05,441.36856
2026-06-05,416.67,439.52863
2026-06-08,411.73996,436.43707
2026-06-09,403.41,433.45578
2026-06-10,397.36,430.1546
2026-06-11,390.34,427.0017
2026-06-12,390.74,423.86038
2026-06-15,399.76,421.89783
2026-06-16,393.83,422.18365
2026-06-17,378.91003,421.75168
2026-06-18,379.4,419.141
2026-06-22,367.34,417.2881
2026-06-23,373.94,414.28018
2026-06-24,365.46,413.24634
2026-06-25,352.83,411.50995
2026-06-26,372.97,408.45956
2026-06-29,368.57,409.42206
2026-06-30,373.02,409.83386
2026-07-01,384.28,410.8085
2026-07-02,390.49,413.23236
2026-07-06,386.74,415.93024
2026-07-07,388.83997,417.15115
2026-07-08,383.34,418.0895
2026-07-09,384.36,417.76254
2026-07-10,385.09998,417.53375
2026-07-13,390.99,417.47
2026-07-14,384.93,418.34976
2026-07-15,395.63,418.09155
2026-07-16,401.10004,419.47128
2026-07-17,393.82,421.3835
2026-07-20,402.29004,421.58167
2026-07-21,397.75,422.84616
2026-07-22,390.34,423.03882
2026-07-23,381.58,421.89218
2026-07-24,381.7,419.6042
2026-07-27,389.1,417.97397
2026-07-28,393.35,418.1105
2026-07-29,390.53998,419.07983
2026-07-30,451.09998,419.42117
2026-07-31,464.72,429.03046
2026-08-03,487.65,438.57147
2026-08-04,492.81,448.67374
2026-08-05,487.46,456.28314
