Date,Actual,Predicted
2026-01-29,94.91,85.78364
2026-01-30,85.189995,85.28315
2026-02-02,88.16,83.25228
2026-02-03,89.95,82.205345
2026-02-04,82.39,81.73023
2026-02-05,73.87,80.10798
2026-02-06,86.1,77.43562
2026-02-09,92.88,77.496925
2026-02-10,91.79,78.74802
2026-02-11,88.61,79.55272
2026-02-12,89.73,79.63075
2026-02-13,98.01,79.87068
2026-02-17,97.52,81.45483
2026-02-18,101.8,82.5767
2026-02-19,107.61001,84.14404
2026-02-20,97.92,86.300285
2026-02-23,100.61,86.272064
2026-02-24,102.58,86.66815
2026-02-25,106.12,87.27588
2026-02-26,104.880005,88.32079
2026-02-27,91.19,88.89171
2026-03-02,91.01,86.99145
2026-03-03,86.799995,85.49337
2026-03-04,97.78,83.63634
2026-03-05,95.65,84.10412
2026-03-06,89.33,84.13444
2026-03-09,94.94,83.10455
2026-03-10,96.43,83.27535
2026-03-11,111.994995,83.670845
2026-03-12,108.04,86.622505
2026-03-13,112.95,88.20215
2026-03-16,129.85,90.20928
2026-03-17,116.33001,94.53781
2026-03-18,118.56,95.505844
2026-03-19,121.52,96.56108
2026-03-20,117.62,97.80018
2026-03-23,114.15,98.049614
2026-03-24,114.91001,97.628265
2026-03-25,115.09,97.4138
2026-03-26,105.96999,97.270256
2026-03-27,100.82,95.62926
2026-03-30,92.26,93.51955
2026-03-31,103.759995,90.47872
2026-04-01,101.95,90.13264
2026-04-02,108.81999,89.60548
2026-04-06,112.54,90.404594
2026-04-07,117.4,91.66384
2026-04-08,125.0,93.44586
2026-04-09,136.33,96.063515
2026-04-10,144.96999,99.90947
2026-04-13,154.56,104.20092
2026-04-14,161.94,108.94218
2026-04-15,166.77,113.614876
2026-04-16,165.34,117.800095
2026-04-17,157.14,120.60894
2026-04-20,159.16,121.33022
2026-04-21,156.55,122.147644
2026-04-22,156.14,122.29705
2026-04-23,157.08,122.32294
2026-04-24,147.16,122.47596
2026-04-27,144.95999,120.99547
2026-04-28,135.51,119.54146
2026-04-29,141.19,116.92205
2026-04-30,138.23,115.88909
2026-05-01,154.49,114.63918
2026-05-04,176.42,116.36334
2026-05-05,175.92,121.1619
2026-05-06,195.09,124.619026
2026-05-07,184.77,130.15231
2026-05-08,177.05,132.55911
2026-05-11,186.1,133.14148
2026-05-12,179.11,134.94164
2026-05-13,207.27,135.15181
2026-05-14,221.15001,139.57857
2026-05-15,219.94002,144.7641
