Date,Actual,Predicted
2026-02-26,84.59,87.66536
2026-02-27,96.24,88.61398
2026-03-02,97.09,91.12674
2026-03-03,97.7,93.13269
2026-03-04,98.66,94.55229
2026-03-05,99.16999,95.58747
2026-03-06,99.02,96.304504
2026-03-09,98.31999,96.71224
2026-03-10,96.94,96.82712
2026-03-11,94.89,96.63762
2026-03-12,94.30999,96.133446
2026-03-13,95.31,95.65238
2026-03-16,95.2,95.479294
2026-03-17,94.36,95.37615
2026-03-18,94.7,95.18607
2026-03-19,91.740005,95.10678
2026-03-20,91.82,94.587685
2026-03-23,93.38,94.20387
2026-03-24,90.91999,94.20148
2026-03-25,92.28,93.84774
2026-03-26,93.32,93.799065
2026-03-27,93.42999,93.96261
2026-03-30,92.97,94.120804
2026-03-31,96.15,94.16002
2026-04-01,95.55,94.68627
2026-04-02,98.66,94.99709
2026-04-06,98.93,95.69396
2026-04-07,98.82,96.249084
2026-04-08,99.39,96.59958
2026-04-09,102.05,96.904526
2026-04-10,103.01,97.528175
2026-04-13,103.16,98.13756
2026-04-14,106.28,98.58087
2026-04-15,107.71,99.36685
2026-04-16,107.79,100.164474
2026-04-17,97.31,100.72966
2026-04-20,94.83,99.40604
2026-04-21,92.579994,97.895676
2026-04-22,93.24,96.43329
2026-04-23,92.82,95.53181
2026-04-24,92.44,94.91066
2026-04-27,91.37,94.47418
2026-04-28,92.27,94.039825
2026-04-29,92.12,93.90114
2026-04-30,93.61,93.82038
2026-05-01,92.06,94.02117
2026-05-04,91.01999,93.943375
2026-05-05,87.89,93.700645
2026-05-06,88.27,93.01045
2026-05-07,88.25,92.55205
2026-05-08,87.49,92.25536
2026-05-11,85.45,91.95609
2026-05-12,87.66,91.434
2026-05-13,87.56,91.41575
2026-05-14,86.94,91.441605
2026-05-15,87.02,91.37685
2026-05-18,89.65,91.34088
2026-05-19,89.33,91.7406
2026-05-20,88.09,92.00786
2026-05-21,89.3,91.98357
2026-05-22,88.6,92.12719
2026-05-26,87.68,92.12249
2026-05-27,87.35,91.95641
2026-05-28,86.36,91.77041
2026-05-29,86.01999,91.47992
2026-06-01,85.85,91.21748
2026-06-02,83.33,91.015465
2026-06-03,81.52,90.48474
2026-06-04,81.56,89.80609
2026-06-05,82.18,89.33714
2026-06-08,82.63999,89.14444
2026-06-09,81.41,89.127716
2026-06-10,82.0,88.95136
2026-06-11,81.27,88.917465
2026-06-12,80.34,88.79438
2026-06-15,81.67,88.55809
2026-06-16,78.72,88.59867
2026-06-17,76.96,88.18707
2026-06-18,77.38,87.58936
2026-06-22,72.88,87.230515
2026-06-23,72.82,86.30611
2026-06-24,71.84,85.628815
2026-06-25,70.9,85.05061
2026-06-26,73.81,84.5437
2026-06-29,73.78,84.68221
2026-06-30,71.4,84.852776
2026-07-01,74.19,84.61587
2026-07-02,77.649994,84.853935
2026-07-06,76.020004,85.60048
2026-07-07,76.18,85.90582
2026-07-08,75.59,86.09225
2026-07-09,75.47,86.09854
2026-07-10,73.37,86.05527
2026-07-13,73.83,85.6838
2026-07-14,73.53,85.46973
2026-07-15,73.68,85.29261
2026-07-16,74.34999,85.20697
