Date,Actual,Predicted
2025-12-30,187.54,195.86192
2025-12-31,186.5,196.7596
2026-01-02,188.85,197.34901
2026-01-05,188.12,198.35999
2026-01-06,187.24,199.06166
2026-01-07,189.11,199.54822
2026-01-08,185.04,200.30762
2026-01-09,184.86,200.23116
2026-01-12,184.94,200.18689
2026-01-13,185.81,200.21498
2026-01-14,183.14,200.49052
2026-01-15,187.05,200.20203
2026-01-16,186.23,200.67361
2026-01-20,178.06999,200.99913
2026-01-21,183.32,199.66518
2026-01-22,184.84,199.37016
2026-01-23,187.67,199.29486
2026-01-26,186.46999,199.66283
2026-01-27,188.52,199.76048
2026-01-28,191.52,200.21962
2026-01-29,192.51,201.23114
2026-01-30,191.13,202.32332
2026-02-02,185.60999,203.05621
2026-02-03,180.34,202.65326
2026-02-04,174.19,201.35017
2026-02-05,171.88,199.05263
2026-02-06,185.41,196.53676
2026-02-09,190.04,196.92691
2026-02-10,188.53998,198.09236
2026-02-11,190.05,198.83162
2026-02-12,186.94,199.77419
2026-02-13,182.80998,200.0577
2026-02-17,184.97,199.48914
2026-02-18,187.97998,199.43474
2026-02-19,187.9,200.06558
2026-02-20,189.82,200.50597
2026-02-23,191.55,201.23532
2026-02-24,192.85,202.15685
2026-02-25,195.55998,203.23389
2026-02-26,184.89,204.6658
2026-02-27,177.19,203.89876
2026-03-02,182.48,201.84003
2026-03-03,180.04999,201.08142
2026-03-04,183.04,200.00693
2026-03-05,183.34,199.70836
2026-03-06,177.82,199.54973
2026-03-09,182.65,198.34398
2026-03-10,184.77,197.95505
2026-03-11,186.03,197.89758
2026-03-12,183.14,198.10507
2026-03-13,180.25,197.71721
2026-03-16,183.22,196.88443
2026-03-17,181.93,196.773
2026-03-18,180.39998,196.36067
2026-03-19,178.56,195.64688
2026-03-20,172.7,194.64973
2026-03-23,175.64,192.58589
2026-03-24,175.2,191.28624
2026-03-25,178.68,190.00685
2026-03-26,171.24,189.52696
2026-03-27,167.52,187.82327
2026-03-30,165.17,185.68909
2026-03-31,174.4,183.20132
2026-04-01,175.75,182.79898
2026-04-02,177.39,182.63892
2026-04-06,177.63998,182.82889
2026-04-07,178.1,183.13084
2026-04-08,182.08,183.41641
2026-04-09,183.91,184.43336
2026-04-10,188.63,185.70474
2026-04-13,189.31,187.83276
2026-04-14,196.50998,189.91985
2026-04-15,198.87,193.15591
2026-04-16,198.35,196.5138
2026-04-17,201.67998,199.443
2026-04-20,202.06,202.7199
2026-04-21,199.88,205.75851
2026-04-22,202.49998,208.01186
2026-04-23,199.64,210.51881
2026-04-24,208.26999,212.16878
2026-04-27,216.61,215.30827
2026-04-28,213.17,219.48425
2026-04-29,209.25,222.42802
2026-04-30,199.57,224.21384
2026-05-01,198.44998,224.14445
2026-05-04,198.48,224.0111
2026-05-05,196.5,223.93257
2026-05-06,207.83,223.52715
2026-05-07,211.49998,225.08109
2026-05-08,215.2,226.87126
2026-05-11,219.44,228.90042
2026-05-12,220.78,231.25017
2026-05-13,225.83,233.30641
2026-05-14,235.74,235.7995
2026-05-15,225.32,239.35919
2026-05-18,222.32,240.52235
2026-05-19,220.61,241.2074
