Date,Actual,Predicted
2026-04-09,26.11,28.08884
2026-04-10,26.23,28.110865
2026-04-13,26.42,28.13308
2026-04-14,27.07,28.16642
2026-04-15,27.25,28.255516
2026-04-16,27.699999,28.335188
2026-04-17,27.870003,28.430286
2026-04-20,27.8,28.508179
2026-04-21,27.06,28.547565
2026-04-22,27.07,28.492062
2026-04-23,26.37,28.44772
2026-04-24,26.82,28.34761
2026-04-27,26.5,28.325493
2026-04-28,26.39,28.286293
2026-04-29,26.18,28.249458
2026-04-30,26.68,28.205183
2026-05-01,26.56,28.229057
2026-05-04,26.55,28.238733
2026-05-05,26.62,28.243055
2026-05-06,27.520002,28.252592
2026-05-07,27.129997,28.351923
2026-05-08,26.99,28.38296
2026-05-11,27.259998,28.381544
2026-05-12,27.04,28.404484
2026-05-13,28.09,28.397997
2026-05-14,27.2,28.498331
2026-05-15,26.41,28.480783
2026-05-18,26.21,28.376978
2026-05-19,26.24,28.28126
2026-05-20,26.11,28.224115
2026-05-21,25.71,28.178848
2026-05-22,25.16,28.110699
2026-05-26,25.24,28.008461
2026-05-27,25.58,27.949745
2026-05-28,25.45,27.953697
2026-05-29,25.46,27.949825
2026-06-01,25.77,27.948814
2026-06-02,26.28,27.981531
2026-06-03,25.63,28.059038
2026-06-04,25.5,28.044004
2026-06-05,24.58,28.011663
2026-06-08,24.45,27.891237
2026-06-09,24.35,27.792465
2026-06-10,24.31,27.721716
2026-06-11,24.3,27.67683
2026-06-12,24.46,27.651592
2026-06-15,24.58,27.656132
2026-06-16,23.9,27.6757
2026-06-17,23.65,27.617094
2026-06-18,23.48,27.545853
2026-06-22,23.05,27.481218
2026-06-23,22.92,27.395075
2026-06-24,22.54,27.325712
2026-06-25,21.91,27.243433
2026-06-26,22.13,27.122858
2026-06-29,22.37,27.06904
2026-06-30,22.57,27.069729
2026-07-01,23.23,27.099472
2026-07-02,22.83,27.194492
2026-07-06,23.25,27.217058
2026-07-07,23.07,27.269678
2026-07-08,23.58,27.284658
2026-07-09,23.69,27.345015
2026-07-10,23.64,27.39824
2026-07-13,23.63,27.424946
2026-07-14,23.59,27.437174
2026-07-15,24.27,27.438158
2026-07-16,24.67,27.510443
2026-07-17,24.25,27.605225
2026-07-20,24.48,27.621653
2026-07-21,24.33,27.648266
2026-07-22,23.86,27.648514
2026-07-23,23.71,27.59487
2026-07-24,23.56,27.539211
2026-07-27,24.15,27.48758
2026-07-28,24.4,27.519741
2026-07-29,24.83,27.575785
2026-07-30,25.09,27.660221
2026-07-31,25.49,27.74366
2026-08-03,25.66,27.837746
2026-08-04,25.6,27.914661
2026-08-05,25.31,27.953722
2026-08-06,25.37,27.942621
2026-08-07,25.58,27.935827
2026-08-10,25.96,27.953255
2026-08-11,25.25,28.006357
2026-08-12,24.63,27.96846
2026-08-13,24.15,27.869877
2026-08-14,24.3,27.749874
2026-08-17,24.39,27.688179
2026-08-18,24.16,27.665651
2026-08-19,24.52,27.632294
2026-08-20,24.26,27.650242
2026-08-21,24.32,27.639332
2026-08-24,23.92,27.636719
2026-08-25,24.2,27.592909
2026-08-26,24.03,27.591581
