Date,Actual,Predicted
2026-03-26,147.56,135.27449
2026-03-27,143.06,133.9368
2026-03-30,137.55,132.03334
2026-03-31,146.28,129.59198
2026-04-01,146.49,129.29199
2026-04-02,148.46,129.31676
2026-04-06,147.93,129.76135
2026-04-07,150.07,130.05385
2026-04-08,140.76,130.64215
2026-04-09,130.49,129.45712
2026-04-10,128.06,126.6089
2026-04-13,132.37,123.91371
2026-04-14,135.7,122.70553
2026-04-15,142.15,122.577446
2026-04-16,142.76,123.77542
2026-04-17,146.39,124.922424
2026-04-20,145.89,126.42211
2026-04-21,145.97,127.458786
2026-04-22,152.62,128.1792
2026-04-23,141.57,129.8248
2026-04-24,143.09,129.14873
2026-04-27,143.1,128.7052
2026-04-28,141.18,128.36115
2026-04-29,137.97,127.77536
2026-04-30,139.11,126.76089
2026-05-01,144.07,126.18154
2026-05-04,146.03,126.67473
2026-05-05,135.91,127.49579
2026-05-06,133.79,126.36244
2026-05-07,137.05,124.98221
2026-05-08,137.8,124.49866
2026-05-11,136.89,124.362206
2026-05-12,136.0,124.1582
2026-05-13,130.05,123.861626
2026-05-14,133.73,122.59033
2026-05-15,133.99,122.22446
2026-05-18,135.14,122.0833
2026-05-19,135.26,122.22596
2026-05-20,137.15,122.390976
2026-05-21,137.415,122.855644
2026-05-22,136.88,123.27114
2026-05-26,136.6,123.477196
2026-05-27,132.51,123.55366
2026-05-28,143.34,122.8668
2026-05-29,156.54,124.1986
2026-06-01,160.65,127.6709
2026-06-02,152.17,131.15253
2026-06-03,142.2,132.22894
2026-06-04,141.7,131.01418
2026-06-05,135.53,129.75876
2026-06-08,136.47,127.68739
2026-06-09,132.07,126.25356
2026-06-10,130.21,124.48471
2026-06-11,131.08,122.85771
2026-06-12,127.99,121.85549
2026-06-15,134.71,120.66261
2026-06-16,133.25,120.99397
2026-06-17,130.63,121.141945
2026-06-18,128.47,120.80432
2026-06-22,119.5,120.13624
2026-06-23,116.69999,118.027596
2026-06-24,113.5,115.86157
2026-06-25,107.26999,113.71224
2026-06-26,112.93,111.08053
2026-06-29,115.7,110.16238
2026-06-30,116.66999,110.18837
2026-07-01,125.73,110.530914
2026-07-02,129.3,112.44045
2026-07-06,132.54,114.61936
2026-07-07,134.37,116.80909
2026-07-08,132.22,118.70472
2026-07-09,129.04,119.64364
2026-07-10,126.79,119.635315
2026-07-13,130.04,119.098206
2026-07-14,133.72,119.19702
2026-07-15,133.76,119.96289
2026-07-16,134.44,120.598114
2026-07-17,132.38,121.17513
2026-07-20,134.85,121.21815
2026-07-21,132.66,121.62435
2026-07-22,124.57001,121.55301
2026-07-23,123.37,120.02383
2026-07-24,122.92,118.54969
2026-07-27,131.53,117.38576
2026-07-28,123.53,118.10123
2026-07-29,123.00001,117.41422
2026-07-30,122.26,116.72582
2026-07-31,123.06,116.085594
2026-08-03,125.65,115.772125
2026-08-04,162.66,116.04362
2026-08-05,158.43,122.80683
2026-08-06,155.92,127.63131
2026-08-07,172.01,130.59012
2026-08-10,175.23,135.31982
2026-08-11,174.94,139.41264
2026-08-12,171.04,142.27129
2026-08-13,179.01,143.53029
