Date,Actual,Predicted
2025-12-11,7.2200003,5.2758
2025-12-12,6.4999995,5.31528
2025-12-15,5.94,5.2628226
2025-12-16,6.07,5.17562
2025-12-17,5.97,5.141138
2025-12-18,6.13,5.1167555
2025-12-19,6.7800007,5.1216464
2025-12-22,7.61,5.1899304
2025-12-23,7.15,5.309703
2025-12-24,7.0200005,5.3286095
2025-12-26,6.81,5.3199964
2025-12-29,6.54,5.292006
2025-12-30,6.52,5.249651
2025-12-31,6.33,5.2252173
2026-01-02,7.16,5.1952753
2026-01-05,7.43,5.261503
2026-01-06,7.3500004,5.3270144
2026-01-07,7.45,5.353272
2026-01-08,7.28,5.373988
2026-01-09,7.3899994,5.366772
2026-01-12,7.21,5.3719883
2026-01-13,7.14,5.357268
2026-01-14,8.09,5.341932
2026-01-15,8.31,5.4268756
2026-01-16,8.3,5.496955
2026-01-20,8.24,5.5316763
2026-01-21,8.37,5.5411544
2026-01-22,6.94,5.5565424
2026-01-23,6.9100003,5.4241796
2026-01-26,6.46,5.345913
2026-01-27,6.79,5.2636213
2026-01-28,6.2199993,5.2549663
2026-01-29,5.95,5.1995373
2026-01-30,5.8,5.1436706
2026-02-02,5.84,5.10063
2026-02-03,6.04,5.0838566
2026-02-04,5.6099997,5.096994
2026-02-05,5.18,5.0638022
2026-02-06,5.8699994,5.002734
2026-02-09,6.21,5.037498
2026-02-10,5.84,5.093812
2026-02-11,5.83,5.08829
2026-02-12,5.65,5.0811324
2026-02-13,5.58,5.058986
2026-02-17,5.52,5.0399513
2026-02-18,5.58,5.0245676
2026-02-19,5.57,5.0230556
2026-02-20,5.69,5.0223083
2026-02-23,5.52,5.0339656
2026-02-24,6.11,5.0239763
2026-02-25,6.36,5.0755477
2026-02-26,6.24,5.129359
2026-02-27,6.0,5.1453424
2026-03-02,6.9100003,5.127532
2026-03-03,7.0400004,5.2050214
2026-03-04,6.84,5.261787
2026-03-05,6.6399994,5.2704897
2026-03-06,6.28,5.2521534
2026-03-09,6.69,5.205273
2026-03-10,7.0000005,5.2196646
2026-03-11,7.4400005,5.2605534
2026-03-12,7.4400005,5.326528
2026-03-13,6.83,5.3615785
2026-03-16,6.9100003,5.3179216
2026-03-17,6.57,5.298656
2026-03-18,6.18,5.2559433
2026-03-19,6.23,5.1950827
2026-03-20,5.93,5.1681576
2026-03-23,6.06,5.1272135
2026-03-24,5.74,5.1191444
2026-03-25,6.1,5.0858116
2026-03-26,5.49,5.103338
2026-03-27,5.19,5.0553265
2026-03-30,5.08,4.9985576
2026-03-31,5.94,4.9581614
2026-04-01,5.6,5.023072
2026-04-02,6.11,5.029158
2026-04-06,6.0799994,5.0798793
2026-04-07,5.9599996,5.104438
2026-04-08,6.2199993,5.103715
2026-04-09,6.0799994,5.1268597
2026-04-10,7.0400004,5.1257405
2026-04-13,7.3,5.21787
2026-04-14,6.7099996,5.2948136
2026-04-15,6.9699993,5.2757583
2026-04-16,7.34,5.2857137
2026-04-17,7.26,5.3272142
2026-04-20,8.59,5.3422217
2026-04-21,10.25,5.4786267
2026-04-22,12.77,5.7156243
2026-04-23,11.720001,6.0853157
2026-04-24,15.099999,6.178943
2026-04-27,7.95,6.537152
2026-04-28,8.03,6.0401907
2026-04-29,6.6,5.754407
2026-04-30,7.12,5.4662666
2026-05-01,7.3100004,5.371935
