Date,Actual,Predicted
2026-05-01,667.74,595.63776
2026-05-04,674.15,596.5261
2026-05-05,672.88,597.8449
2026-05-06,681.61,598.5673
2026-05-07,695.77,599.9445
2026-05-08,694.94,602.4158
2026-05-11,711.23,603.9587
2026-05-12,713.29004,606.6414
2026-05-13,707.2399,608.62036
2026-05-14,714.71,609.1489
2026-05-15,719.79004,610.16406
2026-05-18,708.93,611.36615
2026-05-19,705.88,610.95593
2026-05-20,701.53,610.2372
2026-05-21,713.15,609.26587
2026-05-22,714.5101,609.8924
2026-05-26,717.54,610.5576
2026-05-27,730.28,611.32513
2026-05-28,729.4501,613.194
2026-05-29,735.6,614.36505
2026-06-01,738.31,615.7148
2026-06-02,742.74,616.85803
2026-06-03,746.16,618.0295
2026-06-04,744.21,619.126
2026-06-05,740.61,619.6007
2026-06-08,705.06,619.4666
2026-06-09,716.07,615.51697
2026-06-10,707.83,613.8971
2026-06-11,693.69,612.12146
2026-06-12,717.12,609.4662
2026-06-15,721.34,610.28467
2026-06-16,744.0,611.529
2026-06-17,729.86,614.8182
2026-06-18,722.51,615.5442
2026-06-22,740.62,615.03424
2026-06-23,737.95,616.5285
2026-06-24,713.65,617.3171
2026-06-25,710.62,615.16974
2026-06-26,716.38,613.24976
2026-06-29,706.52,612.6448
2026-06-30,724.0801,611.29474
2026-07-01,736.4001,612.3053
2026-07-02,725.17,614.44904
2026-07-06,712.6,614.707
2026-07-07,722.82,613.3839
2026-07-08,709.43,613.50977
2026-07-09,711.44006,612.2324
2026-07-10,723.28,611.5458
2026-07-13,725.51,612.43005
2026-07-14,711.74,613.35565
2026-07-15,719.69,612.47394
2026-07-16,717.74,612.64044
2026-07-17,705.94006,612.5972
2026-07-20,695.33,611.2813
2026-07-21,696.06006,609.1929
2026-07-22,708.97,607.881
2026-07-23,705.35004,608.51996
2026-07-24,691.96,608.69336
2026-07-27,684.23004,607.3267
2026-07-28,682.12,605.4935
2026-07-29,675.49,604.0524
2026-07-30,661.73,602.4369
2026-07-31,683.55,599.88116
2026-08-03,687.99,600.63605
2026-08-04,700.07007,601.8679
2026-08-05,723.85004,604.0504
2026-08-06,717.3,608.10126
2026-08-07,714.6501,610.0813
2026-08-10,723.03,610.8864
2026-08-11,720.87006,612.1779
2026-08-12,718.45,612.76904
2026-08-13,723.7,612.8203
2026-08-14,732.07,613.3653
2026-08-17,731.07007,614.6363
2026-08-18,729.87,615.38715
2026-08-19,717.51,615.6977
2026-08-20,716.08,614.52484
2026-08-21,710.93,613.5064
2026-08-24,713.44,612.30023
2026-08-25,706.32,611.7958
2026-08-26,710.72003,610.7605
2026-08-27,711.37,610.5551
2026-08-28,721.11,610.56104
2026-08-31,716.43,611.6476
2026-09-01,716.76,611.9154
2026-09-02,707.64,612.0677
2026-09-03,709.24,611.15814
2026-09-04,717.67004,610.6709
2026-09-08,718.96,611.2998
2026-09-09,718.36,611.9257
2026-09-10,716.31,612.2679
2026-09-11,708.69006,612.2415
2026-09-14,714.88,611.36615
2026-09-15,709.18,611.4136
2026-09-16,704.54004,610.88745
2026-09-17,704.72003,610.01447
