Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Daily Return,30-Day Rolling STD,30-Day Rolling SMA,30-Day Rolling EWMA,RSI,MACD,5D Return,21D Return
2025-07-01,151.82000732421875,156.3699951171875,146.5500030517578,152.22999572753906,152.22999572753906,8713500,0.0,0.0,,,,152.22999572753906,,0.0,,
2025-07-02,152.0,164.5500030517578,151.8000030517578,159.33999633789062,159.33999633789062,11005400,0.0,0.0,0.046705648097612906,,,155.82606317977564,,0.5671795358684903,,
2025-07-03,159.0,160.99000549316406,155.39999389648438,157.02999877929688,157.02999877929688,4041200,0.0,0.0,-0.014497286379342222,,,156.2366821954259,97.56175066006257,0.8208140731327092,,
2025-07-07,154.9499969482422,155.38999938964844,149.55999755859375,153.3699951171875,153.3699951171875,6308100,0.0,0.0,-0.02330767172235315,,,155.49498453894765,93.66493524162024,0.7182104803009679,,
2025-07-08,155.1999969482422,155.85000610351562,145.1999969482422,145.9600067138672,145.9600067138672,7055500,0.0,0.0,-0.048314459406864185,,,153.49886505445124,86.16143556429773,0.03852812918159998,,
2025-07-09,147.30999755859375,147.9499969482422,141.3000030517578,145.64999389648438,145.64999389648438,4609600,0.0,0.0,-0.0021239572699565112,,,152.1140118672289,85.85156391269004,-0.5191559675741644,-0.043224082084529214,
2025-07-10,148.72999572753906,148.8000030517578,141.27999877929688,143.0,143.0,3933500,0.0,0.0,-0.01819426026456117,,,150.72004976174946,83.10036642339739,-1.1615671693949423,-0.1025479899173628,
2025-07-11,141.63999938964844,147.39999389648438,141.3000030517578,145.58999633789062,145.58999633789062,3686200,0.0,0.0,0.018111862502731668,,,150.02575537066937,83.65178679703796,-1.4450341618798461,-0.07285233732622631,
2025-07-14,146.0,150.38999938964844,145.3000030517578,146.3800048828125,146.3800048828125,4438700,0.0,0.0,0.005426255682350556,,,149.58223942368818,83.82515244151728,-1.587635435463909,-0.04557599567656023,
2025-07-15,147.2899932861328,148.0500030517578,142.89999389648438,144.8000030517578,144.8000030517578,4426500,0.0,0.0,-0.0107938364417981,,,149.0527837369453,81.95330814914631,-1.8073074006015304,-0.007947407568865028,
