Date,Actual,Predicted
2026-04-02,135.99998,129.35768
2026-04-06,138.34,130.03958
2026-04-07,141.14,130.94418
2026-04-08,145.0,132.10184
2026-04-09,138.38,133.63792
2026-04-10,139.73,133.75262
2026-04-13,149.35,133.97311
2026-04-14,154.53998,135.70016
2026-04-15,158.48,137.98103
2026-04-16,162.45,140.46089
2026-04-17,163.8,143.06566
2026-04-20,166.28,145.3121
2026-04-21,156.82,147.44331
2026-04-22,164.30998,147.45296
2026-04-23,152.95999,148.60117
2026-04-24,154.88998,147.55959
2026-04-27,160.20999,146.96808
2026-04-28,147.93,147.39297
2026-04-29,147.75,145.68867
2026-04-30,147.23,144.24011
2026-05-01,166.47998,143.00554
2026-05-04,169.06999,145.32036
2026-05-05,171.62999,147.7806
2026-05-06,166.56,150.21974
2026-05-07,163.95,151.25455
2026-05-08,155.8,151.52415
2026-05-11,159.51,150.24988
2026-05-12,152.34999,149.784
2026-05-13,154.12,148.20274
2026-05-14,156.31,147.23044
2026-05-15,158.17,146.86484
2026-05-18,159.11,146.94539
2026-05-19,154.88,147.21101
2026-05-20,146.72,146.72107
2026-05-21,150.04,144.91652
2026-05-22,141.67,143.9961
2026-05-26,144.63998,141.89839
2026-05-27,154.19,140.73315
2026-05-28,167.69,141.48112
2026-05-29,176.0,144.47823
2026-06-01,177.85,148.40665
2026-06-02,169.12999,151.88916
2026-06-03,169.49,153.09181
2026-06-04,183.91,153.94792
2026-06-05,173.44998,157.04123
2026-06-08,171.12999,157.7356
2026-06-09,178.11,157.79276
2026-06-10,172.21,158.9711
2026-06-11,173.26,158.8903
2026-06-12,162.09999,158.96262
2026-06-15,181.87999,157.04903
2026-06-16,175.39,158.89714
2026-06-17,165.95,159.35721
2026-06-18,174.96,158.07281
2026-06-22,170.44,158.53633
2026-06-23,165.63,158.15125
2026-06-24,160.72,157.0007
2026-06-25,158.02,155.19518
2026-06-26,166.93999,153.26346
2026-06-29,174.39,153.27423
2026-06-30,173.57999,154.67435
2026-07-01,197.76,155.74918
2026-07-02,194.67,160.8352
2026-07-06,200.86,164.49524
2026-07-07,199.43999,168.4821
2026-07-08,195.31,171.3745
2026-07-09,200.30998,172.87431
2026-07-10,195.33998,174.86858
2026-07-13,200.93,175.54442
2026-07-14,203.27,177.03291
2026-07-15,198.02998,178.63919
2026-07-16,185.25998,178.98026
2026-07-17,181.17998,176.91626
2026-07-20,181.63998,174.43274
2026-07-21,185.84,172.46451
2026-07-22,170.38,171.65451
2026-07-23,168.77998,168.31548
2026-07-24,168.73,165.32024
2026-07-27,179.22998,162.91376
2026-07-28,178.44,162.88649
2026-07-29,177.98999,162.8474
2026-07-30,178.04,162.79347
2026-07-31,140.67,162.75623
2026-08-03,154.71,156.1869
2026-08-04,159.96999,153.1925
2026-08-05,155.26,151.81561
2026-08-06,150.86998,150.09178
2026-08-07,161.7,148.04362
2026-08-10,158.72,148.29889
2026-08-11,156.19,148.11647
2026-08-12,153.45,147.5761
2026-08-13,158.12,146.67795
2026-08-14,178.09,146.75726
2026-08-17,164.5,150.28827
2026-08-18,158.25,150.92514
2026-08-19,151.71,150.26323
2026-08-20,150.31,148.50526
