Date,Actual,Predicted
2025-12-26,70.65,59.131668
2025-12-29,70.12001,59.768005
2025-12-30,70.45,60.162262
2025-12-31,69.76001,60.567513
2026-01-02,75.99,60.78707
2026-01-05,78.14001,62.195583
2026-01-06,86.03,63.786682
2026-01-07,84.08001,66.6286
2026-01-08,83.08,68.576164
2026-01-09,84.850006,69.95329
2026-01-12,87.9,71.403946
2026-01-13,86.58,73.17661
2026-01-14,91.8,74.39226
2026-01-15,90.76,76.40318
2026-01-16,96.3,77.849464
2026-01-20,89.16,80.07775
2026-01-21,87.82001,80.51892
2026-01-22,87.98,80.59825
2026-01-23,88.90001,80.68651
2026-01-26,80.48001,80.95841
2026-01-27,87.0,79.608025
2026-01-28,88.57,79.77475
2026-01-29,85.68,80.21763
2026-01-30,80.07,80.034065
2026-02-02,74.15,78.80986
2026-02-03,81.27,76.64851
2026-02-04,73.11,76.23205
2026-02-05,66.32,74.30898
2026-02-06,72.32,71.41072
2026-02-09,75.840004,70.16984
2026-02-10,72.03,69.82882
2026-02-11,69.62,68.78687
2026-02-12,66.01,67.42498
2026-02-13,67.44,65.5475
2026-02-17,69.89,64.26835
2026-02-18,74.42,63.68198
2026-02-19,76.58,64.11888
2026-02-20,70.86,64.90476
2026-02-23,70.21001,64.41946
2026-02-24,69.97,63.863533
2026-02-25,70.2,63.384495
2026-02-26,72.65001,63.02683
2026-02-27,69.1,63.22483
2026-03-02,70.97,62.719223
2026-03-03,70.13,62.68167
2026-03-04,71.91,62.509647
2026-03-05,70.0,62.701496
2026-03-06,70.11,62.514797
2026-03-09,71.48001,62.39281
2026-03-10,68.93,62.543106
2026-03-11,71.96,62.165073
2026-03-12,68.37001,62.454
2026-03-13,68.41001,62.003
2026-03-16,71.31,61.63834
2026-03-17,78.590004,61.90122
2026-03-18,69.48,63.543526
2026-03-19,71.93001,63.11165
2026-03-20,67.23,63.197987
2026-03-23,68.0,62.367104
2026-03-24,66.07,61.834866
2026-03-25,72.88,61.0316
2026-03-26,65.94,61.710346
2026-03-27,60.930004,60.923058
2026-03-30,57.38,59.276073
2026-03-31,64.22,57.204556
2026-04-01,65.52,56.85716
2026-04-02,67.73,56.863712
2026-04-06,67.67,57.30938
2026-04-07,66.32,57.651085
2026-04-08,69.08,57.64558
2026-04-09,66.74,58.173298
2026-04-10,68.05,58.14609
2026-04-13,70.62001,58.38124
2026-04-14,72.22,59.080833
2026-04-15,73.6,59.97004
2026-04-16,82.93,60.95704
2026-04-17,84.80001,63.611977
2026-04-20,89.46,66.16694
2026-04-21,86.64,69.16821
2026-04-22,90.04,71.07206
2026-04-23,84.6,73.27979
2026-04-24,79.68,74.03359
2026-04-27,82.29,73.729294
2026-04-28,78.590004,74.00942
2026-04-29,77.02,73.562614
2026-04-30,82.51001,72.893166
2026-05-01,78.810005,73.41035
2026-05-04,80.31,73.12977
2026-05-05,78.76,73.18391
2026-05-06,84.65,72.92625
2026-05-07,78.58,73.83618
2026-05-08,105.47001,73.41815
2026-05-11,117.35,78.187325
2026-05-12,117.56,84.24064
2026-05-13,124.15,89.06615
2026-05-14,132.55,93.99852
2026-05-15,124.77,99.22955
