Date,Actual,Predicted
2026-01-26,3.01,4.197657
2026-01-27,3.1500003,4.1877537
2026-01-28,3.03,4.200044
2026-01-29,2.93,4.192379
2026-01-30,2.85,4.173421
2026-02-02,2.68,4.150629
2026-02-03,2.72,4.114044
2026-02-04,2.57,4.0969286
2026-02-05,2.35,4.0678425
2026-02-06,2.53,4.0208964
2026-02-09,2.7,4.0159426
2026-02-10,2.71,4.037937
2026-02-11,2.62,4.054213
2026-02-12,2.55,4.0517306
2026-02-13,2.56,4.0397606
2026-02-17,2.5,4.033271
2026-02-18,2.5,4.0217133
2026-02-19,2.55,4.0146546
2026-02-20,2.46,4.017365
2026-02-23,2.43,4.007649
2026-02-24,2.55,3.9972868
2026-02-25,2.58,4.0069323
2026-02-26,2.64,4.017787
2026-02-27,2.55,4.032403
2026-03-02,2.6,4.0293083
2026-03-03,2.54,4.0330877
2026-03-04,2.61,4.0276036
2026-03-05,2.56,4.0331697
2026-03-06,2.52,4.0304065
2026-03-09,2.54,4.0230637
2026-03-10,2.5,4.021051
2026-03-11,2.55,4.0148315
2026-03-12,2.51,4.0175924
2026-03-13,2.45,4.014418
2026-03-16,2.48,4.004309
2026-03-17,2.65,4.00186
2026-03-18,2.58,4.023361
2026-03-19,2.5,4.0282545
2026-03-20,2.43,4.0197325
2026-03-23,2.42,4.0044823
2026-03-24,2.38,3.9936402
2026-03-25,2.52,3.9821706
2026-03-26,2.39,3.9939528
2026-03-27,2.26,3.9850852
2026-03-30,2.17,3.9616368
2026-03-31,2.43,3.934928
2026-04-01,2.4,3.9531555
2026-04-02,2.46,3.9626226
2026-04-06,3.07,3.9759822
2026-04-07,2.99,4.0650344
2026-04-08,2.97,4.111667
2026-04-09,2.97,4.134724
2026-04-10,3.02,4.1466303
2026-04-13,2.99,4.1595006
2026-04-14,2.89,4.1630826
2026-04-15,2.83,4.1512856
2026-04-16,3.06,4.13531
2026-04-17,2.93,4.156333
2026-04-20,2.92,4.153494
2026-04-21,2.92,4.149403
2026-04-22,2.9,4.1467066
2026-04-23,2.71,4.1424747
2026-04-24,2.58,4.11445
2026-04-27,2.54,4.079124
2026-04-28,2.38,4.052309
2026-04-29,2.33,4.01568
2026-04-30,2.38,3.9869785
2026-05-01,2.65,3.9770818
2026-05-04,2.52,4.0081825
2026-05-05,2.45,4.0118985
2026-05-06,2.66,4.0034966
2026-05-07,2.51,4.025421
2026-05-08,2.94,4.020123
2026-05-11,2.92,4.072829
2026-05-12,2.79,4.1046166
2026-05-13,2.88,4.105289
2026-05-14,2.88,4.1157207
2026-05-15,2.81,4.1221848
2026-05-18,2.58,4.1164994
2026-05-19,2.5,4.081696
2026-05-20,2.47,4.048693
2026-05-21,2.75,4.0251083
2026-05-22,3.24,4.048988
2026-05-26,3.51,4.1315136
2026-05-27,3.79,4.2207785
2026-05-28,4.53,4.312786
2026-05-29,6.18,4.4691873
2026-06-01,7.52,4.796468
2026-06-02,4.59,5.1962004
2026-06-03,4.29,5.0270543
2026-06-04,4.72,4.854881
2026-06-05,4.38,4.805417
2026-06-08,4.12,4.73437
2026-06-09,4.59,4.6558485
2026-06-10,4.71,4.6736636
2026-06-11,5.73,4.706242
2026-06-12,3.91,4.8706303
