Date,Actual,Predicted
2026-01-22,688.98,640.0323
2026-01-23,689.23,640.38214
2026-01-26,692.73,640.7093
2026-01-27,695.49,641.376
2026-01-28,695.42,642.18
2026-01-29,694.0399,642.6984
2026-01-30,691.9699,642.8328
2026-02-02,695.41,642.62024
2026-02-03,689.53,642.88525
2026-02-04,686.18994,642.33856
2026-02-05,677.62,641.50696
2026-02-06,690.61993,639.8511
2026-02-09,693.95,640.381
2026-02-10,692.12,641.3036
2026-02-11,691.96,641.7218
2026-02-12,681.27,641.941
2026-02-13,681.75,640.6992
2026-02-17,682.85,639.84753
2026-02-18,686.29,639.453
2026-02-19,684.4799,639.67914
2026-02-20,689.43,639.6515
2026-02-23,682.39,640.2562
2026-02-24,687.35,639.7942
2026-02-25,693.15,640.0558
2026-02-26,689.3,641.0024
2026-02-27,685.99,641.1776
2026-03-02,686.38,640.8183
2026-03-03,680.33,640.5864
2026-03-04,685.12994,639.6669
2026-03-05,681.31,639.6383
2026-03-06,672.38,639.1949
2026-03-09,678.27,637.7506
2026-03-10,677.18,637.5022
2026-03-11,676.33,637.2872
2026-03-12,666.05994,637.06177
2026-03-13,662.29,635.60675
2026-03-16,669.03,634.099
2026-03-17,670.79,633.9866
2026-03-18,661.43,634.2543
2026-03-19,659.7999,633.2762
2026-03-20,648.57,632.35565
2026-03-23,655.38,630.3103
2026-03-24,653.17993,629.7999
2026-03-25,656.82,629.3069
2026-03-26,645.09,629.4915
2026-03-27,634.09,628.1565
2026-03-30,631.97,625.76953
2026-03-31,650.34,623.87604
2026-04-01,655.24,625.09106
2026-04-02,655.83,626.76807
2026-04-06,658.93,627.9953
2026-04-07,659.22,629.149
2026-04-08,676.01,629.90094
2026-04-09,679.91,632.4939
2026-04-10,679.46,634.77313
2026-04-13,686.1,636.15295
2026-04-14,694.46,637.79517
2026-04-15,699.93994,639.8998
2026-04-16,701.66,641.9609
2026-04-17,710.14,643.48505
2026-04-20,708.72,645.47516
2026-04-21,704.07996,646.5857
2026-04-22,711.21,646.64185
2026-04-23,708.45,647.476
2026-04-24,713.94,647.69995
2026-04-27,715.17,648.4901
2026-04-28,711.68994,649.183
2026-04-29,711.58,649.1879
2026-04-30,718.66,649.1237
2026-05-01,720.65,649.9515
2026-05-04,718.01,650.7921
2026-05-05,723.77,651.0129
2026-05-06,733.83,651.82666
2026-05-07,731.58,653.629
2026-05-08,737.61993,654.58124
2026-05-11,739.3,655.8867
2026-05-12,738.18,656.9434
2026-05-13,742.31,657.46484
2026-05-14,748.17,658.26196
2026-05-15,739.17,659.4993
2026-05-18,738.65,659.2238
2026-05-19,733.73,658.88007
2026-05-20,741.25,658.02844
2026-05-21,742.72,658.36273
2026-05-22,745.63995,658.8345
2026-05-26,750.59,659.51984
2026-05-27,750.46,660.58417
2026-05-28,754.6,661.2816
2026-05-29,756.48,662.21155
2026-06-01,758.54,663.04767
2026-06-02,759.57,663.8282
2026-06-03,754.24,664.448
2026-06-04,757.09,664.189
2026-06-05,737.5499,664.30273
2026-06-08,739.22,662.0131
2026-06-09,737.05,660.5736
2026-06-10,725.43,659.40704
