Date,Actual,Predicted
2026-04-28,76.27,76.70472
2026-04-29,74.11,76.82781
2026-04-30,74.47,76.55889
2026-05-01,74.61,76.40073
2026-05-04,75.12,76.30111
2026-05-05,73.93,76.31986
2026-05-06,72.95,76.133766
2026-05-07,79.17,75.80908
2026-05-08,76.73,76.6457
2026-05-11,75.45,76.93352
2026-05-12,76.15,76.92786
2026-05-13,76.36,77.01809
2026-05-14,74.7,77.118324
2026-05-15,74.69,76.896225
2026-05-18,75.09,76.70236
2026-05-19,75.08,76.615364
2026-05-20,74.09,76.55246
2026-05-21,74.6,76.33355
2026-05-22,73.61,76.247505
2026-05-26,71.82,76.01052
2026-05-27,70.12,75.50839
2026-05-28,70.73,74.81172
2026-05-29,70.92,74.37011
2026-06-01,70.4,74.07988
2026-06-02,73.77,73.79288
2026-06-03,71.62,74.15218
2026-06-04,71.69,74.10496
2026-06-05,72.21,74.07391
2026-06-08,70.71,74.12819
2026-06-09,70.06,73.92009
2026-06-10,70.38,73.64071
2026-06-11,68.61,73.4734
2026-06-12,69.55,73.06127
2026-06-15,68.85,72.89849
2026-06-16,72.85,72.67499
2026-06-17,73.25,73.1672
2026-06-18,70.91,73.651115
2026-06-22,71.64,73.643936
2026-06-23,71.43,73.73035
2026-06-24,69.67,73.75004
2026-06-25,73.85,73.466
2026-06-26,72.25,73.93018
2026-06-29,76.2,74.05137
2026-06-30,75.5,74.8149
2026-07-01,72.16,75.3162
2026-07-02,72.66,75.11883
2026-07-06,74.43,75.00295
2026-07-07,72.42,75.20163
2026-07-08,74.33,75.02402
2026-07-09,73.6,75.20527
2026-07-10,74.35,75.23241
2026-07-13,74.54,75.38253
2026-07-14,74.26,75.53659
2026-07-15,72.08,75.60872
2026-07-16,72.67,75.27925
2026-07-17,74.04,75.10025
2026-07-20,72.46,75.19776
2026-07-21,72.17,75.020355
2026-07-22,71.55,74.82748
2026-07-23,70.33,74.56811
2026-07-24,68.91,74.15976
2026-07-27,65.94,73.60385
2026-07-28,68.18,72.69317
2026-07-29,70.74,72.360146
2026-07-30,71.2,72.55697
2026-07-31,70.37,72.83055
2026-08-03,70.36,72.92281
2026-08-04,71.61,72.982185
2026-08-05,71.99,73.223694
2026-08-06,68.18,73.475204
2026-08-07,70.47,73.038414
2026-08-10,75.02,73.046104
2026-08-11,78.03,73.817215
2026-08-12,78.54,74.980736
2026-08-13,75.36,76.02312
2026-08-14,75.88,76.27538
2026-08-17,75.95,76.50525
2026-08-18,74.99,76.6661
2026-08-19,74.66,76.60752
2026-08-20,78.04,76.48667
2026-08-21,78.55,76.988174
2026-08-24,78.8,77.513596
2026-08-25,79.29,77.99654
2026-08-26,80.35,78.47079
2026-08-27,78.49,79.04209
2026-08-28,76.95,79.15489
2026-08-31,78.82,78.93004
2026-09-01,75.65,79.06303
2026-09-02,75.24,78.586914
2026-09-03,76.45,78.10675
2026-09-04,75.96,77.93572
2026-09-08,75.76,77.72701
2026-09-09,73.13,77.53278
2026-09-10,71.08,76.90736
2026-09-11,72.56,76.03359
2026-09-14,71.67,75.596695
