Date,Actual,Predicted
2026-02-11,4.67,5.6594214
2026-02-12,4.7,5.642118
2026-02-13,4.89,5.6351676
2026-02-17,4.84,5.6511855
2026-02-18,4.81,5.656397
2026-02-19,4.8,5.65633
2026-02-20,4.62,5.654936
2026-02-23,4.53,5.6351695
2026-02-24,4.56,5.6134586
2026-02-25,4.16,5.6034775
2026-02-26,4.55,5.5564027
2026-02-27,4.41,5.5680966
2026-03-02,4.33,5.5622063
2026-03-03,4.2500005,5.550637
2026-03-04,4.18,5.535188
2026-03-05,4.03,5.5185843
2026-03-06,3.86,5.4932013
2026-03-09,3.8899999,5.4604025
2026-03-10,4.04,5.4439206
2026-03-11,3.9100003,5.450422
2026-03-12,3.74,5.442092
2026-03-13,3.66,5.4194875
2026-03-16,3.6299999,5.3972516
2026-03-17,3.66,5.380965
2026-03-18,3.69,5.374858
2026-03-19,3.69,5.375021
2026-03-20,3.56,5.3756375
2026-03-23,3.74,5.362789
2026-03-24,3.61,5.37325
2026-03-25,3.53,5.366814
2026-03-26,3.53,5.354437
2026-03-27,3.42,5.3467546
2026-03-30,3.47,5.331086
2026-03-31,3.62,5.326834
2026-04-01,3.64,5.340223
2026-04-02,3.72,5.3510914
2026-04-06,3.75,5.365848
2026-04-07,3.62,5.3776746
2026-04-08,3.9100003,5.3710546
2026-04-09,3.92,5.396164
2026-04-10,3.69,5.412938
2026-04-13,3.7299998,5.3990707
2026-04-14,3.72,5.393657
2026-04-15,3.81,5.3893013
2026-04-16,3.75,5.3961573
2026-04-17,3.92,5.3945284
2026-04-20,3.98,5.410924
2026-04-21,3.74,5.4273562
2026-04-22,3.6799998,5.4124064
2026-04-23,3.67,5.3961296
2026-04-24,3.78,5.3850155
2026-04-27,3.74,5.3900256
2026-04-28,3.65,5.3896737
2026-04-29,3.47,5.3802605
2026-04-30,3.54,5.3557982
2026-05-01,3.66,5.3479056
2026-05-04,3.54,5.3561697
2026-05-05,3.4299998,5.3496675
2026-05-06,3.49,5.3342366
2026-05-07,3.3799999,5.33081
2026-05-08,3.3799999,5.317918
2026-05-11,3.33,5.3101897
2026-05-12,3.25,5.300727
2026-05-13,3.1,5.287054
2026-05-14,3.0299997,5.263592
2026-05-15,3.0,5.242331
2026-05-18,2.92,5.2269387
2026-05-19,2.92,5.210249
2026-05-20,3.01,5.200701
2026-05-21,3.07,5.204755
2026-05-22,3.09,5.2140646
2026-05-26,3.11,5.222021
2026-05-27,3.1,5.22871
2026-05-28,3.14,5.2314653
2026-05-29,3.06,5.2369003
2026-06-01,3.01,5.2319384
2026-06-02,2.97,5.223486
2026-06-03,2.73,5.214182
2026-06-04,2.62,5.184274
2026-06-05,2.59,5.1548004
2026-06-08,2.56,5.134473
2026-06-09,2.48,5.1202307
2026-06-10,2.43,5.1045027
2026-06-11,2.39,5.090516
2026-06-12,2.38,5.078568
2026-06-15,2.35,5.070873
2026-06-16,2.43,5.0637474
2026-06-17,2.28,5.0678673
2026-06-18,2.22,5.0557995
2026-06-22,2.05,5.0421658
2026-06-23,2.03,5.016962
2026-06-24,2.02,4.99984
2026-06-25,2.12,4.9893503
2026-06-26,2.18,4.993926
2026-06-29,2.1,5.003622
2026-06-30,2.29,5.0017476
2026-07-01,2.22,5.0191903
