Date,Actual,Predicted
2026-02-12,7.27,9.786078
2026-02-13,7.4800005,9.687121
2026-02-17,7.0,9.6453495
2026-02-18,8.18,9.546022
2026-02-19,8.32,9.66411
2026-02-20,8.09,9.7894945
2026-02-23,7.7699995,9.8409395
2026-02-24,7.7299995,9.815467
2026-02-25,7.49,9.781294
2026-02-26,7.74,9.716556
2026-02-27,7.66,9.70985
2026-03-02,7.4399996,9.698607
2026-03-03,7.51,9.656783
2026-03-04,7.1500006,9.637422
2026-03-05,7.2500005,9.569324
2026-03-06,7.4199996,9.535704
2026-03-09,7.27,9.544119
2026-03-10,6.98,9.531578
2026-03-11,7.07,9.476235
2026-03-12,7.2100005,9.449415
2026-03-13,7.1700006,9.456637
2026-03-16,7.04,9.459706
2026-03-17,7.01,9.44174
2026-03-18,6.99,9.423056
2026-03-19,7.06,9.407257
2026-03-20,7.09,9.40837
2026-03-23,7.16,9.416017
2026-03-24,7.1,9.433382
2026-03-25,7.14,9.436643
2026-03-26,6.99,9.443712
2026-03-27,6.8,9.42467
2026-03-30,6.78,9.379125
2026-03-31,6.95,9.342651
2026-04-01,6.9,9.3461685
2026-04-02,6.88,9.345558
2026-04-06,7.09,9.342704
2026-04-07,6.89,9.37399
2026-04-08,7.06,9.366835
2026-04-09,7.1,9.385278
2026-04-10,6.89,9.405857
2026-04-13,6.7,9.38664
2026-04-14,6.78,9.339534
2026-04-15,6.9,9.317308
2026-04-16,6.85,9.323904
2026-04-17,6.95,9.324291
2026-04-20,7.1299996,9.340513
2026-04-21,7.11,9.3814745
2026-04-22,7.1,9.408289
2026-04-23,6.93,9.423056
2026-04-24,7.14,9.403954
2026-04-27,6.9,9.420215
2026-04-28,6.81,9.395982
2026-04-29,6.76,9.361809
2026-04-30,6.96,9.3297615
2026-05-01,6.7,9.340381
2026-05-04,6.54,9.311508
2026-05-05,6.61,9.264171
2026-05-06,6.65,9.2417755
2026-05-07,6.95,9.2360935
2026-05-08,7.3,9.282177
2026-05-11,6.76,9.374181
2026-05-12,7.9,9.355603
2026-05-13,8.19,9.512148
2026-05-14,8.11,9.679484
2026-05-15,8.02,9.781007
2026-05-18,7.84,9.82574
2026-05-19,8.120001,9.816997
2026-05-20,7.7499995,9.847651
2026-05-21,7.62,9.81025
2026-05-22,7.8100004,9.756928
2026-05-26,7.36,9.749008
2026-05-27,7.49,9.676025
2026-05-28,7.5000005,9.642575
2026-05-29,7.7,9.625835
2026-06-01,7.8500004,9.649822
2026-06-02,7.2100005,9.695296
2026-06-03,6.85,9.626205
2026-06-04,6.75,9.511063
2026-06-05,6.71,9.412389
2026-06-08,6.74,9.342495
2026-06-09,6.71,9.305837
2026-06-10,6.63,9.2826805
2026-06-11,6.79,9.258326
2026-06-12,6.79,9.268568
2026-06-15,6.91,9.279794
2026-06-16,6.77,9.307145
2026-06-17,6.95,9.305109
2026-06-18,6.8,9.329047
2026-06-22,6.17,9.32337
2026-06-23,6.26,9.217656
2026-06-24,7.86,9.151069
2026-06-25,7.33,9.360994
2026-06-26,7.8,9.448115
2026-06-29,8.26,9.571863
2026-06-30,8.29,9.729283
2026-07-01,8.94,9.841406
2026-07-02,8.6,10.015607
