,Actual,Predicted
2026-03-12,68.41,67.12312
2026-03-13,71.310005,66.13892
2026-03-16,78.59,65.237656
2026-03-17,69.48,65.04569
2026-03-18,71.93,66.595375
2026-03-19,67.23001,65.950485
2026-03-20,68.0,65.93127
2026-03-23,66.07,65.34564
2026-03-24,72.880005,64.79577
2026-03-25,65.94,63.983955
2026-03-26,60.93,65.18093
2026-03-27,57.38,64.357185
2026-03-30,64.22,63.33655
2026-03-31,65.52,62.457962
2026-04-01,67.73,63.07026
2026-04-02,67.67,63.353336
2026-04-06,66.32,64.09034
2026-04-07,69.08,64.20459
2026-04-08,66.74,64.19112
2026-04-09,68.05,64.430466
2026-04-10,70.62,64.02727
2026-04-13,72.22,64.00471
2026-04-14,73.6,64.45371
2026-04-15,82.93,65.17909
2026-04-16,84.8,65.81735
2026-04-17,89.46,68.42117
2026-04-20,86.64,70.14212
2026-04-21,90.04,72.428955
2026-04-22,84.6,73.770805
2026-04-23,79.68,75.36526
2026-04-24,82.29001,75.67322
2026-04-27,78.59,75.35659
2026-04-28,77.02,75.64805
2026-04-29,82.51,75.28503
2026-04-30,78.81,74.95152
2026-05-01,80.31,75.57124
2026-05-04,78.76,75.25577
2026-05-05,84.65001,75.1902
2026-05-06,78.58,74.98668
2026-05-07,105.47,75.8489
2026-05-08,117.35,53.336395
2026-05-11,117.55999,52.619358
2026-05-12,124.149994,54.57698
