,Actual,Predicted
2026-04-01,2.46,3.00582
2026-04-02,3.07,2.9671087
2026-04-06,2.99,2.9667742
2026-04-07,2.97,3.2832732
2026-04-08,2.97,3.3535037
2026-04-09,3.02,3.3446028
2026-04-10,2.99,3.3209085
2026-04-13,2.89,3.37495
2026-04-14,2.83,3.3560796
2026-04-15,3.06,3.3232746
2026-04-16,2.93,3.298623
2026-04-17,2.92,3.3387213
2026-04-20,2.92,3.328968
2026-04-21,2.9,3.3236442
2026-04-22,2.71,3.3641112
2026-04-23,2.58,3.3590117
2026-04-24,2.54,3.2807665
2026-04-27,2.38,3.2338068
2026-04-28,2.33,3.1574485
2026-04-29,2.38,3.0927558
2026-04-30,2.65,3.0449061
2026-05-01,2.52,2.9988265
2026-05-04,2.45,3.098256
2026-05-05,2.66,3.0638542
2026-05-06,2.51,3.0145805
2026-05-07,2.94,3.0362735
2026-05-08,2.92,3.0156608
2026-05-11,2.79,3.1690867
2026-05-12,2.88,3.2128143
2026-05-13,2.88,3.1893551
2026-05-14,2.81,3.2138243
2026-05-15,2.58,3.2649171
2026-05-18,2.5,3.2602518
2026-05-19,2.47,3.2248013
2026-05-20,2.75,3.148283
2026-05-21,3.24,3.08457
2026-05-22,3.51,3.1519852
2026-05-26,3.79,3.42374
2026-05-27,4.53,3.642055
2026-05-28,6.18,3.8001635
2026-05-29,7.52,4.0811
2026-06-01,4.59,4.326139
2026-06-02,4.29,3.5404007
