,Actual,Predicted
2026-07-20,748.28,747.7585
2026-07-21,747.41,747.0401
2026-07-22,738.18,747.7087
2026-07-23,738.93,747.4864
2026-07-24,739.09,745.69556
2026-07-27,740.86,745.647
2026-07-28,729.46,745.3717
2026-07-29,741.69,745.1344
2026-07-30,747.03,742.38446
2026-07-31,757.67,744.5005
2026-08-03,771.33,746.034
2026-08-04,769.79,749.2004
2026-08-05,768.56,753.62115
2026-08-06,773.26,756.975
2026-08-07,773.03,757.9576
2026-08-10,770.56,759.9225
2026-08-11,772.49,760.6685
2026-08-12,777.88,760.4352
2026-08-13,776.34,761.7034
2026-08-14,772.67,763.65247
2026-08-17,767.45,764.23224
2026-08-18,769.06,764.2614
2026-08-19,762.6,763.6484
2026-08-20,765.72,763.8826
2026-08-21,763.47,762.22955
2026-08-24,765.91,762.7026
2026-08-25,766.08,762.59174
2026-08-26,771.10004,763.4224
2026-08-27,769.35,763.5351
2026-08-28,767.05005,765.1994
2026-08-31,761.78,765.2081
2026-09-01,765.16,765.0587
2026-09-02,773.17,763.70123
2026-09-03,770.19,764.0136
2026-09-04,765.9601,764.9896
2026-09-08,762.4,764.9815
2026-09-09,757.83,764.087
2026-09-10,764.29,763.3989
2026-09-11,760.88,761.1511
2026-09-14,757.39,760.85724
2026-09-15,754.05,710.7326
2026-09-16,762.6,732.0127
2026-09-17,761.69,688.72797
