ticker,mention_count,post_count,avg_sentiment,total_score,total_comments,engagement,latest_mention,rank_score,last_close,latest_rsi,latest_macd,return_5d,return_21d,rmse
IREN,37,1,-0.5249,230,82,9.861258318318392,2026-07-19 08:14:29+00:00,41,40.20000076293945,43.14315578642196,-4.596882250468006,0.03129813327425013,-0.30820856409045827,1.2525764919832707
SPY,10,7,0.08305714285714286,1299,623,58.79199128081555,2026-07-20 16:15:28+00:00,38,742.0900268554688,47.515034594877136,2.0602971523469478,-0.009450400064328957,0.0015250551302403714,3.5027954189317922
SPCX,7,6,0.07964999999999998,1380,577,51.68499059084949,2026-07-20 20:22:50+00:00,31,119.8499984741211,64.4842240967459,-10.049352348138399,-0.13863735087066886,-0.3751955275887996,
RKLB,4,4,0.24125,1827,550,42.39030103402816,2026-07-20 04:44:43+00:00,20,65.73999786376953,30.2572750998267,-9.81775990129401,-0.14322957138475045,-0.3911835912204734,7.750127611287285
ASTS,6,3,0.4599333333333333,665,398,30.44307522138745,2026-07-16 02:47:54+00:00,18,57.41999816894531,34.51705792655147,-7.336181743405902,-0.1503403874937541,-0.32787079522617635,3.898269818351585
IBM,4,3,0.29623333333333335,3504,485,33.520154890915954,2026-07-16 17:21:54+00:00,16,213.0,31.61817833785628,-12.507416127144438,-0.2660993283357116,-0.1881075088827845,7.54642322298194
GOOGL,4,3,0.7133666666666666,437,306,23.94710261431545,2026-07-20 14:47:38+00:00,16,351.989990234375,45.6528861789508,-2.3834664985278096,-0.0014751908225123511,-0.03243634523593508,8.71044234995797
SNDK,3,3,-0.5461666666666667,1272,329,28.763193587132523,2026-07-17 23:34:56+00:00,15,1390.949951171875,39.91900188053815,-87.17668959149091,-0.16907114493360464,-0.2898969182668608,142.86222891398515
META,3,3,-0.13723333333333332,450,178,26.527381488028922,2026-07-20 14:47:38+00:00,15,645.8499755859375,56.75718414031648,18.533017722692534,-0.01656693802077791,0.13790118774337357,6.227742649244256
TSM,3,3,0.10049999999999999,523,246,26.203043037778855,2026-07-17 05:35:23+00:00,15,402.29998779296875,40.80692142518624,-5.6433944349493,-0.04573271832957837,-0.06907325355803606,7.845285704407471
