,Actual,Predicted
2026-07-07,251.38,241.83835
2026-07-08,246.1,242.38664
2026-07-09,243.2,241.54288
2026-07-10,244.1,240.28047
2026-07-13,237.04,238.95966
2026-07-14,243.8,238.32547
2026-07-15,239.57,236.55495
2026-07-16,236.68001,237.05263
2026-07-17,238.98,236.44702
2026-07-20,235.93,235.46219
2026-07-21,233.58002,235.23825
2026-07-22,230.25,234.59529
2026-07-23,231.65001,233.5521
2026-07-24,243.95,232.5618
2026-07-27,247.62,232.52098
2026-07-28,246.43,234.96695
2026-07-29,247.43,237.35681
2026-07-30,242.92,238.69562
2026-07-31,245.15,239.876
2026-08-03,240.22,239.66785
2026-08-04,234.91,239.63771
2026-08-05,232.47,238.65157
2026-08-06,246.5,237.18697
2026-08-07,253.57,235.9668
2026-08-10,250.5,238.16858
2026-08-11,243.0,240.48853
2026-08-12,241.91,241.40277
2026-08-13,246.95,240.81404
2026-08-14,241.61,240.33742
2026-08-17,242.4,240.49873
2026-08-18,237.04,239.54561
2026-08-19,240.15,239.41866
2026-08-20,239.62,238.56593
2026-08-21,233.50002,238.68895
2026-08-24,232.93,238.40347
2026-08-25,233.45,237.30434
2026-08-26,233.0,236.27216
2026-08-27,235.39,235.77275
2026-08-28,219.7,235.22217
2026-08-31,216.68,235.37631
2026-09-01,216.14,232.65137
2026-09-02,214.13,196.15678
2026-09-03,214.69,224.36383
