,Actual,Predicted
2026-07-09,74.54,71.20482
2026-07-10,74.26,71.20591
2026-07-13,72.08,71.22356
2026-07-14,72.67,71.251625
2026-07-15,74.04,71.1927
2026-07-16,72.46,71.194916
2026-07-17,72.17,71.30874
2026-07-20,71.55,71.29921
2026-07-21,70.33,71.274956
2026-07-22,68.91,71.248634
2026-07-23,65.94,71.19418
2026-07-24,68.18,71.175316
2026-07-27,70.74,71.14855
2026-07-28,71.2,71.208275
2026-07-29,70.37,71.29837
2026-07-30,70.36,71.253845
2026-07-31,71.61,71.1354
2026-08-03,71.99,71.02349
2026-08-04,68.18,70.95407
2026-08-05,70.47,70.94372
2026-08-06,75.020004,70.94804
2026-08-07,78.03,70.950035
2026-08-10,78.54,71.15521
2026-08-11,75.36,71.34237
2026-08-12,75.88,71.42893
2026-08-13,75.95,71.32979
2026-08-14,74.99,71.27837
2026-08-17,74.66,71.30781
2026-08-18,78.04,71.42727
2026-08-19,78.55,71.54646
2026-08-20,78.80001,71.838264
2026-08-21,79.29,71.98169
2026-08-24,80.35,72.0617
2026-08-25,78.49,72.15189
2026-08-26,76.950005,72.31494
2026-08-27,78.82001,72.36811
2026-08-28,75.65,72.408615
2026-08-31,75.24,72.57973
2026-09-01,76.45,72.616005
2026-09-02,75.96,72.63896
2026-09-03,75.76,72.77612
2026-09-04,73.13,72.80533
