,Actual,Predicted
2026-04-22,6.93,7.4205804
2026-04-23,7.14,7.4103813
2026-04-24,6.9,7.398608
2026-04-27,6.81,7.405294
2026-04-28,6.76,7.3963
2026-04-29,6.96,7.390764
2026-04-30,6.7,7.3924947
2026-05-01,6.54,7.403558
2026-05-04,6.61,7.3845086
2026-05-05,6.65,7.3676734
2026-05-06,6.95,7.35646
2026-05-07,7.3,7.350726
2026-05-08,6.76,7.364892
2026-05-11,7.9,7.4041977
2026-05-12,8.19,7.367589
2026-05-13,8.11,7.4923105
2026-05-14,8.02,7.5859222
2026-05-15,7.84,7.6428833
2026-05-18,8.12,7.686888
2026-05-19,7.75,7.7091174
2026-05-20,7.62,7.754678
2026-05-21,7.81,7.7766476
2026-05-22,7.36,7.7788377
2026-05-26,7.49,7.801401
2026-05-27,7.5,7.7813926
2026-05-28,7.7,7.769739
2026-05-29,7.85,7.7698107
2026-06-01,7.21,7.7893667
2026-06-02,6.85,7.806082
2026-06-03,6.75,7.7737103
2026-06-04,6.71,7.7206864
2026-06-05,6.74,7.6671395
2026-06-08,6.71,7.63539
2026-06-09,6.63,7.6079454
2026-06-10,6.79,7.586802
2026-06-11,6.79,7.564118
2026-06-12,6.91,7.5398
2026-06-15,6.77,7.505479
2026-06-16,6.95,7.4913583
2026-06-17,6.8,7.471131
2026-06-18,6.17,7.475943
2026-06-22,6.26,7.4636316
2026-06-23,7.86,7.442718
